,Papallacta_SEM,Mica_SEM,Orientales_SEM,Occidentales_SEM,Bellavista_SEM,Puengasi_SEM,El Placer_SEM,El Troje_SEM,Paluguillo_SEM,Norte_SEM,Centro_SEM,Sur_SEM,Parroquias Norte_SEM,Parroquias Sur_SEM,Parroquiales Orientales_SEM,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2050-04-30,7809950.534399998,410540.97024,6187156.96104,2392827.6095999996,6997996.104140158,4549195.9035738,1689458.6388327838,1329978.292451352,1403448.11103168,4135815.6975468337,5484241.606191787,1562622.5168449448,651513.4372954487,1595574.150664758,2195792.2662717486,7710530.304959999,405167.33952000004,6166698.59664,2365991.3376,6909812.644430302,4532412.60020808,1673660.618495712,1322168.8265969763,1385582.2958013117,4083699.2728583086,5455969.166871545,1549452.4191105245,643303.5571964611,1582328.603117979,2167947.040252898
2050-05-31,7954951.038047999,442685.41632,6935162.980535998,2390114.96928,7116207.925961635,5091596.773723404,1737927.33911388,1461512.4078028677,1429504.7015372254,4205678.884243326,6009560.486169703,1662113.5733526081,662518.9579070279,1703499.8266703347,2235166.84088056,7888560.599807999,439912.20095999993,6924532.350672001,2371766.0544,7057214.7003009785,5082884.044865929,1727380.0335440156,1457161.8790302002,1417574.3397854974,4170813.887877878,5992911.523876967,1653869.8874250962,657026.688598021,1695175.2761387608,2216559.8138353545
2050-06-30,8776527.31872,564591.2544,6895482.812640001,2288020.3488000003,7764447.805295329,5116408.915912561,1686014.0993707203,1512505.6912663204,1577141.9591739841,4588788.652929539,5988094.575997372,1732000.6909975053,722870.0906729951,1789528.9509700642,2455701.6857789746,8676098.827199997,563642.064,6872189.5713599995,2265470.208,7676502.775109278,5099540.76690984,1672485.5963736002,1506881.8997445595,1559094.9592478396,4536813.140089583,5961653.864909262,1720565.1633933191,714682.4083626738,1777060.4504797005,2427708.751861619
2050-07-31,8392814.263007998,523561.57920000004,6239402.987472,2142198.24768,7413604.678788737,4635102.155232169,1564277.5028544483,1380206.0565359283,1508188.7230625374,4381440.365164144,5455775.506633582,1606284.7759651062,690206.5955952316,1663300.103118649,2346984.578507849,8281244.466432,523227.0470399999,6206758.2197279995,2116710.0576,7315794.787341195,4611893.607129672,1548605.400459984,1373268.149019,1488139.63061783,4323634.719318647,5421868.5876962645,1593040.6217397032,681100.4947014654,1648784.194508727,2315873.279286214
2050-08-31,8195211.2854079995,510175.47168,5812197.517872,2010408.64704,7218840.281695459,4327478.613349848,1465978.907518992,1298537.656054344,1472679.4679878175,4266334.606482015,5098324.664936467,1527022.1982041704,672074.0302258471,1586628.0688570354,2289322.7485373523,8071024.296383998,508820.7369600001,5765499.064800001,1978151.33664,7109003.42776028,4293898.87875336,1445757.3256536003,1288441.046767536,1450363.0660602045,4201421.025806326,5051328.290490103,1510305.877687319,661848.219124482,1568830.2896179098,2254578.2988513983
2050-09-30,8113450.847040001,501103.0656,6046565.053680001,2006243.5104000003,7150769.861822496,4489126.389362521,1478636.8897932002,1329456.6567968403,1457987.1172130879,4226104.988337095,5253379.82212766,1544071.762170386,665736.6741356744,1605394.5668759272,2266952.618366653,7976142.8611200005,498779.59680000006,5984611.834320001,1964962.5407999998,7027932.72322109,4444349.216159879,1452592.43648136,1315889.15511852,1433312.8721432642,4153508.239423663,5191485.53257982,1523443.0270070774,654300.5365318833,1584030.8447783245,2228371.3186525977
2050-10-31,8388036.693791998,543923.31168,6394745.560536,2084279.9903999998,7395294.86285446,4753678.494131965,1544430.8891346478,1410778.3561640999,1507330.193874422,4370619.263946985,5545030.528975168,1622081.7008227862,688501.9517317502,1683031.7778414842,2343973.308581171,8263253.867903999,542921.85792,6342984.931464001,2043950.25024,7282963.483479128,4716675.479487636,1519607.1649502162,1399535.882065548,1484906.7200623485,4304231.4187361635,5491107.695514911,1603832.4103805865,678043.9003119068,1664264.9838816433,2308828.218070253
2050-11-30,8168174.23968,487145.9232,6527495.21832,2151292.0896,7231682.143379231,4822853.12945028,1586372.96949768,1405905.6089861998,1467820.910870496,4273924.146737126,5642083.46671368,1613514.8722390286,673269.6075486065,1671072.0232844092,2286128.5859406516,8024625.624959999,484403.58719999995,6480115.992,2105907.4656,7102708.555106305,4788190.9033992,1559079.57830688,1394073.05380848,1442025.224805312,4197700.756067825,5588176.138663777,1593419.8506381237,661262.1664803968,1650621.9931092586,2245727.958145462
2050-12-31,8264006.257247998,484935.83712,6257205.0333360005,2073107.3126399997,7290825.897508672,4630935.041443405,1527191.5479784561,1357882.70815314,1485041.9244274653,4308878.105427627,5420881.862101429,1578511.7521887543,678775.8910580577,1642647.6566330462,2309894.4371799496,8097549.161183998,480009.72384000017,6203311.058664001,2026068.9840000002,7142658.69977876,4590723.478230757,1498508.8461415444,1343788.2995007962,1455129.5842647643,4221311.291569246,5360849.040633325,1555465.2937495853,664981.5249494024,1618943.8332522765,2263211.536433766
2051-01-31,8217641.037311999,464288.05152000004,6423973.6608,1988612.6313599998,7231814.125385067,4739806.261689121,1492328.407333248,1366820.302196448,1476710.0944049663,4274002.148102575,5488844.940556655,1575545.734185622,673281.8950733498,1649810.2417086381,2294781.8982415907,8057101.999967999,458120.232,6376937.488272,1945977.32448,7089593.294907041,4703901.456036169,1466380.115072208,1353428.164627128,1447861.2293942494,4189949.6372900624,5434958.047540904,1553727.0657783279,660041.1357558456,1627354.0932495196,2249839.39936684
