,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2023-07-31,68259.92165885952,1489.3456276836077,19286.12597177895,12805.110236205708,59148.379661796724,14271.279328662657,8114.114994284673,4623.229340931635,12266.307922097263,34956.69238012141,19569.87460492317,8100.281188898131,5506.71414651322,8948.85507018324,18951.91374968941
2023-08-31,79794.80945290737,2437.42501879267,28304.150705583972,17170.364039399457,69690.59973422873,21053.506219141676,11056.69088044153,6805.889217695163,14339.127258687313,41187.14444292986,28102.351141192325,10623.799906442593,6488.194835256829,11408.296475351233,22219.542265666532
2023-09-30,89874.60451714034,2725.219453494839,31863.231336284574,19625.02252913084,78565.00634209151,23692.755572174916,12603.24080216505,7672.165446518411,16150.466431730007,46431.91874817606,31760.131722400332,11995.178962584516,7314.402090448769,12857.041835882239,25034.78748578672
2023-10-31,93899.34692111847,2494.700098876165,31165.27461880728,21334.259098773888,82289.63792667062,23099.7190110502,13456.405331546135,7561.246566061778,16873.7126417251,48633.176014662386,31947.397645636058,12292.183511914953,7661.165290973098,13142.812982545587,26180.424523445305
2023-11-30,82511.78057424157,2800.6295757872317,25117.05341945836,19628.156493222632,72529.0057813858,18959.271161951143,12169.42763180424,6676.493081920202,14827.366969191164,42864.642416798946,27166.616780618642,10883.902514500083,6752.450438246919,11458.709036417551,23031.451271369726
2023-12-31,83370.28045943816,3022.8097070648673,24213.627138403084,17160.10041545583,72619.57790193427,18417.31558129414,10808.829763897935,6485.08400826152,14981.639398561056,42918.17054004323,25538.85115688441,10582.019874457761,6760.88270267004,11351.242225003365,23192.12681612191
2024-01-31,88550.80301555028,4668.150204536394,30124.16182210696,17954.726731531013,77064.55298523506,23306.363440984984,11681.018708754957,8312.061943694893,15912.579301894428,45545.15081427462,30639.801322884945,12181.23406306546,7174.709882925381,12891.277032250078,24625.228657595333
2024-02-29,104236.53013242352,5216.86163679577,30356.00025201931,19055.871540400753,90198.91513336462,23708.02369760218,12302.909543123711,8711.810262137604,18731.304464796653,53307.5588438185,31521.343842433762,13415.383214786654,8397.518998916152,14404.580921458983,28925.85955780022
2024-03-31,99241.22116621112,4849.501469595162,26786.481948535144,15607.072204336004,85246.23467695393,21026.908383709335,10224.502383308294,7733.798712251398,17833.64744356813,50380.524694079926,27379.134203178066,12166.055546628757,7936.424448424491,13312.314976632304,27464.73252400484
2024-04-30,93908.91388059167,2911.5197437205347,21509.61243689859,11395.19370702071,79827.6241268929,16458.684995572,7566.864127920124,5615.452397984284,16875.431824342275,47178.125858992236,21064.138474561707,10070.575431621572,7431.951806213413,11601.412064207087,25889.36161240104
2024-05-31,72689.22150459564,2523.5259142000855,20535.915545603057,10875.39596086214,62300.42860789238,15602.57281677353,7211.950694437435,5226.272664447751,13062.253104375937,36819.55330726367,20000.98311318101,8581.175994276377,5800.169903394858,9602.604247781213,20100.112303000602
2024-06-30,96887.04837899127,1898.7898788522639,25596.821024167675,19754.82504047174,84346.76498849157,18907.27946605761,12231.722419707474,6284.652225790701,17410.602593704934,49848.938108199145,27172.526168740325,11441.881449356239,7852.683820428537,12520.592273067521,26946.71289743443
2024-07-31,106805.8194726503,1658.1460137582658,32724.31034568682,26993.387912219856,94277.94828181191,23838.53155619139,16529.76014780128,7749.480561666706,19193.00575923541,55718.267434550966,35190.60749652887,13644.422918876413,8777.276985036764,14496.994686340693,29859.49174695683
2024-08-31,126535.75783887965,2900.1173920469287,43044.58292785649,35331.288872017314,112526.49313679598,31668.198727983094,21678.640117660336,10559.484749671952,22738.475683646593,66503.15744384503,46513.265762473944,17395.26394138096,10476.216511035525,18056.0392566775,35474.37685576467
2024-09-30,139036.78344368841,3844.1436187211602,55071.48968661305,39848.34189199046,123898.57170563863,40574.44372230731,24897.251367577,13212.305469598423,24984.909984830767,73224.05587803246,57175.34779595842,20316.002254335537,11534.957025794976,20959.83550299561,39009.37720806043
2024-10-31,150238.24016836335,3570.1555331564646,54533.13632471278,45565.021996546966,134503.24108018124,40075.323237033685,27887.400280352173,13378.3412163399,26997.811758254687,79491.41547838785,59242.65371560084,21548.682968385936,12522.251744564988,22051.052552350786,42226.209049930025
2024-11-30,148732.8597571258,4150.413716071209,50080.64923153606,42894.06639078079,132605.247212976,37181.18302799703,26202.712450207655,12816.489549997632,26727.294898355813,78369.7011028692,55241.04873161167,20828.74644957789,12345.548515528191,21394.893841466812,41737.676346355234
