,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
2031,263277.992,293730.92204800446,202047.02203632874,-2165464.2950924253,-789380.4918238247,-1376083.8032686005,-2415939.969868541,-880686.828202941,-1535253.1416656002,-1661838.9134076284,-605793.0494493301,-1056045.8639582982,-1828984.0637136046,-1258092.885994627
2032,263277.992,296668.23126848455,197242.88832079264,-1726327.448133072,-652919.4568822201,-1073407.9912508517,-1945268.9787601952,-735725.986675057,-1209542.992085138,-1293331.8484791177,-489154.8987364363,-804176.9497426813,-1506211.2233536227,-1001419.838063474
2033,263277.992,299634.9135811694,192552.98395901851,-1982883.2372029042,-758969.8742169542,-1223913.3629859502,-2256706.0881444337,-863778.5138976146,-1392927.5742468194,-1450216.4851125781,-555085.9489063388,-895130.5362062395,-1692562.4878279888,-1087683.520165258
2034,263277.992,302631.2627169811,187974.59288479484,-2444948.288092221,-901604.6349960756,-1543343.6530961453,-2810405.009861478,-1036371.2784635079,-1774033.7313979699,-1745638.3482236196,-643725.5272230705,-1101912.8210005488,-2076664.994114951,-1289887.4138853436
2035,263277.992,305657.5753441509,183505.06361264523,-2429606.786954705,-911976.6859420688,-1517630.1010126367,-2820698.053410663,-1058776.620399957,-1761921.4330107064,-1693438.728421469,-635648.8003260399,-1057789.9280954297,-2067579.0083548573,-1241294.991708075
2036,263277.992,308714.15109759243,179141.80770227307,-2190068.5636898186,-808415.4486866359,-1381653.1150031828,-2568027.6287013986,-947930.6913563595,-1620096.9373450393,-1490184.7226611893,-550068.7837674185,-940115.9388937709,-1928811.0884426318,-1119257.746596044
2037,263277.992,311801.2926085683,174882.2982595165,-3841432.9810122023,-1397790.8029290752,-2443642.178083127,-4549426.102234897,-1655409.8420412375,-2894016.2601936595,-2551670.282905073,-928481.9678442837,-1623188.3150607892,-3205817.552802228,-1798070.6133203057
2038,263277.992,314919.305534654,170724.0684729477,-2539896.140682687,-939402.4352298877,-1600493.7054527993,-3038090.357183899,-1123663.851554136,-1914426.5056297628,-1647009.684866051,-609160.6991435925,-1037848.9857224583,-2229345.811164417,-1208573.054195406
2039,263277.992,318068.49859000056,166664.71018526694,-3325771.230176574,-1227874.2086620757,-2097897.0215144986,-4017893.990303914,-1483405.8215034222,-2534488.168800492,-2105336.241777009,-777289.8052588794,-1328046.4365181294,-2852556.6673904923,-1494711.1467033965
2040,263277.992,321249.18357590056,162701.8724986658,-3314067.9584192038,-1244498.659896975,-2069569.298522229,-4043792.7145738057,-1518524.8695348813,-2525267.845038925,-2048044.5719239414,-769081.6112245267,-1278962.960699415,-2846517.0286148256,-1441664.8331980808
2041,263277.992,324461.6754116596,158833.26041335054,-3581850.7642465937,-1341706.8179099974,-2240143.946336596,-4414244.013384845,-1653508.6687015002,-2760735.344683344,-2160898.5653435774,-809439.7362597117,-1351458.8290838653,-3085197.020095004,-1510292.0894972158
2042,263277.992,327706.2921657762,155056.63349843808,-2980465.9852918107,-1108299.1831508316,-1872166.8021409796,-3709833.2813408724,-1379517.570616831,-2330315.7107240423,-1755334.8019152065,-652728.8473410902,-1102605.9545741167,-2658022.0028898185,-1257662.588072555
