,Papallacta_BAU,Mica_BAU,Orientales_BAU,Occidentales_BAU,Bellavista_BAU,Puengasi_BAU,El Placer_BAU,El Troje_BAU,Paluguillo_BAU,Norte_BAU,Centro_BAU,Sur_BAU,Parroquias Norte_BAU,Parroquias Sur_BAU,Parroquiales Orientales_BAU,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2030-11-30,7618995.8208,476314.9920000001,6612455.56104,2009745.5616000001,6746236.44553152,4878182.402906761,1516285.71041256,1403527.8714951598,1369133.54899776,3987025.739309128,5632606.2983586565,1569514.6852465095,628074.6130789845,1625938.6234640093,2132514.582934821,7971890.814720002,502557.69600000005,7089892.357679999,2430042.768,7140018.906836928,5226867.711916921,1771591.2809436,1519487.2516222799,1432548.7794051846,4219751.173940624,6158706.085459673,1705712.1336671992,664735.760226518,1738598.064861676,2240955.8969709286
2030-12-31,7890008.194655998,485812.47744000005,7514016.960528,2002894.128,6966736.909606453,5519252.691583273,1571629.254160464,1546440.6306726,1417834.472579683,4117341.5135774133,6251854.742782365,1684227.146062533,648603.2062843608,1757354.1055742966,2206054.775557885,8276234.974560001,512898.86880000005,7929404.659728001,2348385.76512,7369258.918274065,5824466.051722633,1783206.2273764324,1648179.9425470324,1487239.4249284319,4355232.020699971,6702362.804718892,1805910.7799029076,686078.0052913153,1861937.841065838,2321355.434585744
2031-01-31,8018483.221727999,499318.04159999994,8372628.180000001,2325044.58048,7152127.971744066,6131716.180203601,1799074.661861088,1707470.414582256,1440921.4349445214,4226907.631300743,6990197.488688141,1831585.4190011737,665863.1141693725,1888856.9068489836,2250531.374175961,8435216.361599999,532257.2726400001,8736411.816,2592364.97088,7560236.5901395185,6403008.47569344,1966015.3207072322,1798995.561209568,1515808.3801795198,4468099.824772456,7372883.649238948,1941003.4771630287,703858.0265419892,1987320.5233312065,2371823.1335880286
2031-02-28,8028624.610943999,475321.9968000001,8401274.489664001,2415068.73216,7182813.898454743,6141552.512560417,1847786.2575500165,1705435.1619802562,1442743.8425866365,4245043.013986753,7039927.364192264,1838960.7337709167,668719.9739461367,1892181.3433924043,2255950.7643677043,8412405.36192,504913.40928,8700481.859328,2587839.0451200004,7540409.158950528,6365770.396538112,1960179.6654316802,1778791.9784060162,1511709.2435370237,4456381.812939762,7334710.281062476,1925826.4873885193,702012.092698294,1974830.4455065785,2365482.5209441446
2031-03-31,8051087.759903998,448991.84304000007,7702799.966928,2636280.8208,7256202.638314087,5636666.140592473,1918815.3146831042,1599572.1983828403,1446780.4704547485,4288415.759243625,6648561.801996464,1785251.4126488403,675552.4656270415,1816160.5050083469,2268599.076836425,8416306.134431997,484379.8012800001,8034975.074664001,2731597.3094400004,7579331.331016635,5886688.534104997,1992448.3409280719,1675716.3086324758,1512410.21235743,4479384.816630831,6933820.3669194495,1866319.897997276,705635.7469176487,1898655.225452897,2370791.498605593
2031-04-30,8301407.264639998,475668.288,7456672.728,2816042.1119999997,7506110.281110335,5474341.48518,1999357.9913519996,1588167.7426728,1491762.885455808,4436111.176136209,6571237.074591167,1805781.292835748,698818.867171372,1822633.5542977983,2342022.508221428,8521121.488319999,499285.8144000001,7641273.140640002,2707413.4656,7659259.754475166,5614999.874404562,1954611.4068792001,1621459.21338648,1531245.531451104,4526622.514894823,6659291.775275002,1831598.820421318,713077.083141638,1862806.4376590482,2398597.267718135
2031-05-31,8126920.843775998,447033.852288,6579111.276000001,2688577.6521600005,7331373.946373701,4841931.291460848,1873471.881478925,1429649.2651024226,1460407.6756265468,4332842.002306857,5900434.532174158,1674538.71378442,682550.9144073916,1691246.2633274682,2290778.5006301487,8320754.937599998,472239.6854399999,6812387.374392,2633258.7820800003,7476551.780685119,5017667.583646188,1860265.729884312,1474909.96690242,1495239.6622867198,4418642.102384905,6046337.565197268,1711816.791519654,696066.9707817845,1738014.1244846946,2341886.3865674664
2031-06-30,7910950.199039998,429047.56512000004,5845390.097039999,2485496.2752,7103833.892580095,4315760.22303828,1717202.235427632,1293614.1837419758,1421597.7507674876,4198365.830514835,5299008.662139323,1550101.5386172468,661366.9353992069,1572124.270815598,2226012.384248541,8138113.079039997,460471.65119999996,6147411.82272,2528582.5728,7300791.682845695,4542760.91354688,1760976.886104,1359457.3317398399,1462418.9203034877,4314767.884561805,5538603.672933195,1611905.9829258178,679703.7056729341,1636062.8531708873,2289096.595949252
2031-07-31,7600033.066751999,428714.34624000004,5297380.305336001,2280106.9209600003,6797873.681288522,3928446.8548149243,1572485.95085292,1195209.2255920202,1365725.942095334,4017543.345641517,4831348.861783532,1446192.7520922364,632882.0397279614,1470944.840646094,2135343.0786392414,7793623.426175999,458054.6112,5602400.6354640005,2405489.52096,6987755.993080262,4156662.7229105164,1660079.515796136,1266070.742202636,1400514.1296838268,4129763.7919104355,5108859.309674907,1516697.471289687,650560.0829557723,1536021.8139790199,2191723.767391018
2031-08-31,7394910.882911999,429557.85475199996,4696078.2264,2073241.23264,6578287.879210588,3503992.596986592,1423568.773346659,1089141.2004633697,1328865.4856592861,3887768.1366134575,4326976.540145689,1342633.4034432645,612438.6015545058,1372459.7598264515,2073417.0212532675,7607823.380639998,461745.17856000003,5070842.023464001,2294961.86304,6807952.412752175,3782716.424483077,1566974.9586459603,1178823.74547942,1367125.8615010078,4023499.875936535,4696521.3063751105,1435554.6185506824,633820.3696272274,1452803.2166672456,2137901.7414967627
