,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2037-07-31,-203079.09507479786,-23279.622174000047,-320380.59923999984,-96388.45351199983,-190457.080749559,-236440.60957548945,-72950.15946000042,-68040.73407870345,-36493.313384941546,-112560.13472298939,-272550.64962087275,-66737.56718006668,-17731.554217783916,-64913.81860446903,-58105.89951727006
2037-08-31,-244221.40008000116,-25124.574960000027,-386708.9655599999,-181647.07919999998,-245376.42510679242,-284101.3874133009,-122616.34198041614,-85049.48206846826,-43886.585594375894,-145017.46723811454,-356875.2149495828,-88178.77096428517,-22844.545177442487,-80827.50803268728,-71819.85216725327
2037-09-30,-324235.9630440009,-28684.34337600002,-451563.4012859999,-245903.8823999995,-326948.1808761748,-331464.205862055,-161101.41519560746,-101290.80656538186,-58265.20255900672,-193226.37489781994,-431535.8609890683,-109418.21993931386,-30438.875639571877,-99159.81811960138,-95490.43603276405
2037-10-31,-336165.8215104011,-35368.59005999998,-483281.02015559963,-277631.00503199984,-344613.66180682974,-356770.3245309409,-180281.3735440151,-111853.69129313082,-60408.99812541912,-203666.6741278362,-470265.1023996875,-120035.7942498388,-32083.531914215822,-106972.33332860385,-99673.98786730149
2037-11-30,-370468.5291720005,-33971.676479999885,-419138.74585799983,-286325.4668399996,-374899.0255778628,-310848.2457027571,-180673.73814634173,-101870.66455429491,-66573.19469220848,-221565.32411651724,-429568.0996228436,-115702.32963272263,-34903.09928129887,-102338.0899716558,-109264.66742362715
2037-12-31,-311181.9237072005,-23998.745231999852,-277631.27923319937,-224787.9206880001,-310997.857538502,-206549.95483632726,-138393.24751135785,-70677.8717565475,-55919.39169018384,-183799.73380525436,-300851.2541840699,-85498.37732107996,-28953.90053683447,-75340.69709557436,-91314.51816667974
2038-01-31,-275820.576822,-24614.668979999984,-202885.69012649934,-213793.99488000022,-279273.09866403724,-154009.19907720177,-127720.60876508878,-58772.99383235733,-49564.95765491331,-165050.4013104458,-244940.99012262878,-74213.64816723773,-26000.325485621983,-63113.45329239302,-81367.84078443359
2038-02-28,-259076.80310399874,-27469.089446399976,-201333.99016079897,-178162.60694399994,-256690.47869055418,-154150.31432361985,-108810.380395211,-57587.7858176527,-46556.10151778843,-151704.07290611605,-229173.01553889673,-69351.12805139225,-23897.883566090375,-60415.1292387437,-75759.06176114212
2038-03-31,-169963.6138200011,-22013.041075200068,-67009.7028177004,-33427.436399999475,-147659.8849164198,-56885.00834680435,-22991.665102306015,-24156.911260537327,-30542.461403454345,-87266.99198560392,-70145.56097552356,-28734.64650124841,-13747.13528571858,-28694.556174403067,-47234.87006229866
2038-04-30,-106720.44364800068,-12889.259136000082,2532.102767999967,75816.44927999996,-68659.70410091567,-3798.563229864215,39913.84360117447,-1179.9046132847823,-19177.66372354582,-40577.88512364089,30153.94915722615,-11.187153547086442,-6392.21845179537,-7751.1519253360575,-26798.574657769037
2038-05-31,-13434.737778000694,-16677.575758800045,2314.5210297003387,104455.99295999939,14942.172746378987,-5594.519983955943,54958.250940058984,-1237.6636395660112,-2414.2223787064413,8830.824093109426,41194.26576145244,7668.124243974988,1391.1162826877146,573.4725924945553,-569.2755458445899
2038-06-30,-32314.327920000884,-20057.783759999962,-64629.44397000037,45254.53800000006,-15248.76476860803,-54355.75142476562,19029.454144974123,-17358.015589802846,-5806.884727224213,-9012.01997824834,-32567.172114035115,-9657.860407389351,-1419.659999957512,-12615.385110344592,-7455.628020431759
2038-07-31,-77404.18722119958,-23029.85891879996,-170687.29230629982,-55003.89693600048,-77132.16149125888,-130574.01585570024,-41230.74100526284,-42088.366908025295,-13909.532443649648,-45585.107441332766,-151309.26358040672,-37991.99424800959,-7181.004234836109,-34563.84478886951,-22686.906676805178
2038-08-31,-188066.24736480185,-28600.73148960001,-288960.4562400011,-184896.64799999955,-200142.3332424002,-216548.97943430213,-118127.92874113281,-72096.09436767169,-33795.504651454576,-118284.11894625887,-292751.3823335278,-76138.63086935207,-18633.25122486744,-65473.05606375535,-56636.01529233961
2038-09-30,-252371.29402800024,-34155.55706400005,-388875.82231799973,-251334.3427200001,-269375.8081394775,-289547.2024549108,-160130.23570752854,-94918.09997492834,-45351.12153683173,-159201.10261043083,-393270.93378539494,-101264.41905843033,-25078.887737785302,-87208.11756670769,-76096.46838512314
2038-10-31,-322894.967774399,-32347.44503279995,-401140.13453999796,-272627.38778399926,-332489.48994255427,-297428.12247422844,-172163.64694299767,-97312.79879089688,-58024.22570905955,-196501.28855604955,-410425.8298740653,-108727.10723221452,-30954.771513651674,-95194.64257200254,-95915.14047566266
2038-11-30,-299859.48089999834,-26421.898680000042,-336457.8522449997,-251731.03860000006,-308409.9514820093,-249161.36568887354,-156623.63313345297,-82832.83699737131,-53884.748717729926,-182270.2813258659,-354242.92775510636,-95639.51335662819,-28712.966482974916,-83244.47052560547,-89029.75356022881
2038-12-31,-258358.4452511997,-13020.688051199932,-205728.7490352002,-160049.13120000024,-251600.29836465893,-150991.82946356508,-98896.59185846164,-49421.01606766437,-46427.0126116405,-148695.77633351364,-218018.6858997848,-62390.361885038204,-23423.987777749742,-56763.06900750306,-75028.4036302887
2039-01-31,-241749.48251160045,-17531.38807559989,-220221.52992000093,-208710.61041600016,-250074.9873996381,-163186.36761925288,-125863.61329856966,-57360.4276284499,-43442.382007334614,-147794.3175531865,-251579.06780848766,-71067.61759912316,-23281.9813269063,-60497.48290000292,-71946.87859834394
2039-02-28,-278569.9302624007,-21432.665116800017,-266454.9326376005,-216671.31964799963,-282242.3087546721,-197541.47023659668,-133253.15835768037,-67055.44713810273,-50059.016468153335,-166805.2044740111,-288482.8291090077,-80510.96662067514,-26276.75894505976,-70320.39448514688,-82200.95681303524
2039-03-31,-243298.73179079985,-17756.195004000092,-175151.57058089948,-133875.46825200046,-232748.68405589968,-131441.89514963966,-83198.13669605603,-45419.21808618369,-43720.782102806916,-137554.47227703672,-187358.22301972297,-56398.86633620383,-21668.902485604198,-51644.935042709054,-70157.30250354327
2039-04-30,-100372.62311999996,-8233.125120000026,-92993.7769200011,9805.7519999999,-79858.78432408968,-69269.16313350006,-1166.9089299120628,-17929.86678291599,-18036.960374664224,-47196.54153553761,-62865.857299060095,-17152.580328195472,-7434.852820572714,-20769.68855818194,-27021.723852195813
2039-05-31,-69546.83856119866,-4114.011797999999,-95054.07549689937,15424.615440000336,-53188.43599948713,-68939.12845299293,1848.526479786001,-15694.276911434617,-12497.566889447504,-31434.365675697863,-60036.53085364394,-13489.920932345844,-4951.8433915522555,-17246.16661898377,-18467.990786815655
2039-06-30,-68397.24628799845,-6916.596479999984,-133964.155745998,-23186.47032000058,-61840.74010605013,-97644.02060862721,-21299.360029290063,-25793.154847179176,-12290.985157953372,-36547.8774026765,-105137.28011636698,-23734.081611542177,-5757.372903873128,-24293.712733851295,-19296.01427659278
2039-07-31,-169757.46685800023,-12435.685091999974,-242202.12661530165,-148098.85811999952,-175986.71331969433,-176506.67194109247,-94897.11274971583,-53891.10120966637,-30505.41679438282,-104008.14757193832,-237452.0839783074,-59598.86304398722,-16384.363010063433,-52978.76712426526,-50566.933712812934
2039-08-31,-262901.2482431988,-27340.00012799994,-378408.9615264009,-277738.47360000084,-284570.7441241981,-279197.82137388986,-173199.819833309,-91541.7807979248,-47243.354309302784,-168181.3097774015,-395009.7821853301,-101889.3144224108,-26493.536277962943,-86623.72016446895,-79741.82885871743
2039-09-30,-398301.7373999994,-37308.64050000004,-477400.2846749994,-367310.53800000064,-417844.26318726037,-353456.59677963675,-227605.72171972488,-118132.06083311241,-71574.82221078026,-246945.95954366974,-507080.7326683559,-135477.39339730062,-38901.30090273389,-116305.89270482458,-119230.93763518053
2039-10-31,-375804.4126032001,-32109.41718720008,-416688.00196860026,-310466.54627999983,-385272.97464394354,-308309.50574146694,-193261.09048647346,-102173.79158864547,-67532.05294479514,-227696.32801457125,-437879.65898330725,-118309.2039396017,-35868.91393935118,-103265.06662211393,-111429.8525316224
2039-11-30,-346251.40729200013,-31850.476236000035,-327766.71716099937,-240932.46096000008,-343763.24538726866,-245374.36712255274,-150541.27072838476,-83611.23155705442,-62221.37789037249,-203164.07802387798,-345747.39763449476,-97717.60951948768,-32004.358145554932,-86764.39848440287,-101333.96277262177
2039-12-31,-276890.41537919984,-25321.08738239996,-236606.1062400009,-163637.79883200052,-267686.4445791571,-178138.90543883148,-103302.80746930995,-60874.781833264395,-49757.207643642076,-158202.68874628266,-245975.3077970055,-71472.35447495205,-24921.607990319608,-64894.938998682024,-80176.99692778873
2040-01-31,-296639.60056919977,-33712.597277999936,-304673.8171500004,-198817.03605599975,-292620.8419666009,-229866.4627364884,-126747.40111493875,-78152.24495834457,-53306.13622228517,-172938.91760226135,-311893.8884458858,-87495.36165683334,-27243.000387090782,-78225.44411455572,-86590.19067702348
2040-02-29,-352245.06651600136,-39777.198659999965,-328959.59760000056,-205202.22983999975,-339798.4841517083,-249653.37132350984,-131960.34377829015,-85507.54247703603,-63298.43845292517,-200820.90413366037,-333952.99088607746,-96152.70760491633,-31635.23887452414,-87416.08197894468,-101909.13241034551
2040-03-31,-355625.74083960126,-38248.238674800035,-282259.66742819996,-174355.16867999986,-334904.8043313672,-215997.0665035491,-112480.66283964024,-75415.98293375439,-63905.945628876354,-197928.73935983868,-287511.7763309892,-86665.88948060032,-31179.637283250362,-80296.2000868082,-101917.58860257879
2040-04-30,-240246.69984000135,-29773.643903999975,-206121.87482399997,-37455.71328000047,-206286.0139488958,-158531.97919554004,-34484.57430711863,-49867.897252543225,-43172.33196124825,-121915.03424379848,-170616.75491842904,-50867.6695099668,-19205.227898642275,-53002.29934155062,-66477.96202526877
2040-05-31,-172461.20474520014,-20748.440206799954,-154029.4775036995,10369.136555999856,-138824.2113364226,-117816.27468601213,-5336.880065141282,-33840.69497615626,-30991.27849271225,-82045.1088998265,-109742.70749923364,-31990.629424187024,-12924.53407542102,-36795.09034673802,-46620.424039269965
2040-06-30,-148377.52238399998,-17910.013680000044,-149507.4840480008,-32655.46752000036,-129769.61428136243,-113391.02841019261,-27779.496811560348,-34609.9146129364,-26663.440772404923,-76693.84204028548,-124652.21185178321,-34915.49546854121,-12081.551089594783,-35732.12804424642,-41338.47253659968
2040-07-31,-175444.177104001,-9552.033720000027,-181232.86505849927,-150803.43390000012,-181321.33413172024,-132181.82578144938,-92254.87652526436,-43201.900025385534,-31527.318625588727,-107160.9084718471,-195631.4668726329,-52703.98612075392,-16881.01620766313,-45706.37372564973,-52194.20213674619
