years,BAU_yearly_losses,NBS_yearly_benefits,GROSS_yearly_benefits,NBS_yearly_investments,NET_yearly_cashflow,BAU_cumul_losses,NBS_cumul_benefits,GROSS_cumul_benefits,NBS_cumul_investments,NET_cumul_cashflow,ROI
2033,-0.546059214296417,1.66891852134957,2.21497773564599,0.678902005941379,1.53607572970461,-4.49214344959075,21.4289877003659,25.9211311499567,21.2889430057402,4.63218814421652,0.217586572662041
2034,-0.480051078057385,1.5953963670074,2.07544744506478,0.662759545718918,1.41268789934586,-4.97219452764814,23.0243840673733,27.9965785950215,21.9517025514591,6.04487604356239,0.275371626842702
2035,-0.674269154648776,1.40482715527836,2.07909630992714,0.647000909700471,1.43209540022667,-5.64646368229691,24.4292112226517,30.0756749049486,22.5987034611596,7.47697144378906,0.330858425424262
2036,-0.69709057934078,1.47423328478001,2.17132386412079,0.63161697158078,1.53970689254001,-6.34355426163769,25.9034445074317,32.2469987690694,23.2303204327403,9.01667833632907,0.388142658747881
2037,-0.601882763985036,1.94670972897226,2.54859249295729,0.616598822053536,1.93199367090376,-6.94543702562273,27.850154236404,34.7955912620267,23.8469192547939,10.9486720072328,0.45912312153411
2038,-0.954776933872081,1.63900675945255,2.59378369332463,0.601937763651722,1.99184592967291,-7.90021395949481,29.4891609958565,37.3893749553513,24.4488570184456,12.9405179369057,0.529289280359515
2039,-0.570414028692529,1.36729694210169,1.93771097079422,0.58762530571065,1.35008566508357,-8.47062798818734,30.8564579379582,39.3270859261455,25.0364823241562,14.2906036019893,0.570791192507149
2040,-0.840106389457227,1.54287310355824,2.38297949301547,0.573653159450761,1.80932633356471,-9.31073437764457,32.3993310415164,41.710065419161,25.610135483607,16.099929935554,0.628654617850794
2041,-0.911246018438204,0.981312892746478,1.89255891118468,0.560013233177333,1.33254567800735,-10.2219803960828,33.3806439342629,43.6026243303457,26.1701487167843,17.4324756135614,0.666120617128208
2042,-0.41625724777709,0.950283373729949,1.36654062150704,0.546697627594342,0.819842993912697,-10.6382376438599,34.3309273079929,44.9691649518527,26.7168463443787,18.2523186074741,0.683176388867259
2043,-0.814704654153965,1.11085586735843,1.92556052151239,0.533698631229736,1.39186189028266,-11.4529422980138,35.4417831753513,46.8947254733651,27.2505449756084,19.6441804977567,0.720872940902281
2044,-0.911438409528429,0.863275213692361,1.77471362322079,0.521008715969489,1.2537049072513,-12.3643807075423,36.3050583890437,48.6694390965859,27.7715536915779,20.897885405008,0.752492483391218
2045,-0.818584011870485,0.771612704311099,1.59019671618158,0.508620532697839,1.08157618348375,-13.1829647194127,37.0766710933548,50.2596358127675,28.2801742242757,21.9794615884918,0.777203896064564
2046,-0.773659279233732,1.11933504185321,1.89299432108694,0.496526907041192,1.39646741404575,-13.9566239986465,38.196006135208,52.1526301338544,28.7767011313169,23.3759290025375,0.812321360112334
2047,-0.837946341713815,1.1497796800868,1.98772602180062,0.484720835213227,1.50300518658739,-14.7945703403603,39.3457858152948,54.1403561556551,29.2614219665302,24.8789341891249,0.850229842472521
