years,senwat_BAU_yearly_losses,senwat_NBS_yearly_benefits,senwat_GROSS_yearly_benefits,NBS_yearly_investments,senwat_NET_yearly_cashflow,senwat_BAU_cumul_losses,senwat_NBS_cumul_benefits,senwat_GROSS_cumul_benefits,NBS_cumul_investments,senwat_NET_cumul_cashflow,senwat_ROI
2033,-0.574906833062854,1.76414694986177,2.33905378292462,0.678902005941379,1.66015177698324,-4.70625149340418,22.5291482717556,27.2353997651597,21.2889430057402,5.94645675941958,0.279321371559698
2034,-0.513820087266912,1.71702228286894,2.23084237013586,0.662759545718918,1.56808282441694,-5.22007158067109,24.2461705546245,29.4662421352956,21.9517025514591,7.51453958383652,0.342321492659668
2035,-0.733092118128472,1.53852347860428,2.27161559673275,0.647000909700471,1.62461468703228,-5.95316369879956,25.7846940332288,31.7378577320284,22.5987034611596,9.1391542708688,0.404410557737363
2036,-0.711607628777614,1.50743513307889,2.21904276185651,0.63161697158078,1.58742579027573,-6.66477132757718,27.2921291663077,33.9569004938849,23.2303204327403,10.7265800611445,0.461749121894449
2037,-0.624658819097836,2.02583131844058,2.65049013753842,0.616598822053536,2.03389131548488,-7.28943014667501,29.3179604847483,36.6073906314233,23.8469192547939,12.7604713766294,0.535099366097959
2038,-1.00605025410091,1.7356656456336,2.7417158997345,0.601937763651722,2.13977813608278,-8.29548040077592,31.0536261303819,39.3491065311578,24.4488570184456,14.9002495127122,0.609445648173679
2039,-0.611542063377793,1.47420044496215,2.08574250833994,0.58762530571065,1.49811720262929,-8.90702246415371,32.527826575344,41.4348490394977,25.0364823241562,16.3983667153415,0.654978862566474
2040,-0.915236540938976,1.69502769582897,2.61026423676795,0.573653159450761,2.03661107731719,-9.82225900509269,34.222854271173,44.0451132762657,25.610135483607,18.4349777926587,0.719831326330111
2041,-0.931558065954322,1.00555702903736,1.93711509499168,0.560013233177333,1.37710186181435,-10.753817071047,35.2284113002103,45.9822283712573,26.1701487167843,19.812079654473,0.757048798953384
2042,-0.432196266770043,0.990580764992128,1.42277703176217,0.546697627594342,0.87607940416783,-11.1860133378171,36.2189920652025,47.4050054030195,26.7168463443787,20.6881590586408,0.774348843122112
2043,-0.85876763118581,1.17818923441464,2.03695686560045,0.533698631229736,1.50325823437072,-12.0447809690029,37.3971812996171,49.44196226862,27.2505449756084,22.1914172930116,0.814347651134126
2044,-0.978322155626777,0.932352758239693,1.91067491386647,0.521008715969489,1.38966619789698,-13.0231031246296,38.3295340578568,51.3526371824864,27.7715536915779,23.5810834909085,0.849109263125593
2045,-0.892469422726833,0.850149496291104,1.74261891901794,0.508620532697839,1.2339983863201,-13.9155725473565,39.1796835541479,53.0952561015044,28.2801742242757,24.8150818772286,0.877472736922792
