years,senddr_BAU_yearly_losses,senddr_NBS_yearly_benefits,senddr_GROSS_yearly_benefits,senddr_NBS_yearly_investments,senddr_NET_yearly_cashflow,senddr_BAU_cumul_losses,senddr_NBS_cumul_benefits,senddr_GROSS_cumul_benefits,senddr_NBS_cumul_investments,senddr_NET_cumul_cashflow,senddr_ROI
2033,-0.567152135823019,1.73338473029447,2.30053686611749,0.705126317079549,1.59541054903794,-4.5831752082838,21.8175038839145,26.4006790921983,21.4189570838024,4.98172200839584,0.232584714041149
2034,-0.501757305046942,1.66753459825711,2.16929190330405,0.692727209153996,1.47656469415005,-5.08493251333074,23.4850384821716,28.5699709955023,22.1116842929564,6.45828670254589,0.292075746785293
2035,-0.70957442603678,1.47838502698047,2.18795945301725,0.6808783940074,1.50708105900985,-5.79450693936752,24.9634235091521,30.7579304485196,22.7925626869638,7.96536776155574,0.349472232278274
2036,-0.738965853037046,1.56279268311628,2.30175853615333,0.669559147734078,1.63219938841925,-6.53347279240456,26.5262161922683,33.0596889846729,23.4621218346979,9.59756714997499,0.409066461149359
2037,-0.643027801497531,2.07978787909933,2.72281568059686,0.658749857407297,2.06406582318957,-7.17650059390209,28.6060040713677,35.7825046652698,24.1208716921052,11.6616329731646,0.483466481726754
2038,-1.02852474301737,1.76560508142263,2.79412982443999,0.648431965319432,2.14569785912056,-8.20502533691946,30.3716091527903,38.5766344897098,24.7693036574246,13.8073308322851,0.557437182056039
2039,-0.619883968015903,1.48587764552135,2.10576161353726,0.638587916649616,1.46717369688764,-8.82490930493536,31.8574867983117,40.682396103247,25.4078915740743,15.2745045291728,0.601171666867415
2040,-0.921455524743882,1.6922725063084,2.61372803105228,0.629201110354844,1.98452692069743,-9.74636482967924,33.54975930462,43.2961241342993,26.0370926844291,17.2590314498702,0.662863233581819
2041,-1.00927200119625,1.0868762189594,2.09614822015565,0.620255853094409,1.47589236706125,-10.7556368308755,34.6366355235795,45.3922723544549,26.6573485375235,18.7349238169314,0.702805224254007
2042,-0.465778665705228,1.06333697304131,1.52911563874654,0.611737316010576,0.917378322735965,-11.2214154965807,35.6999724966208,46.9213879932015,27.2690858535341,19.6523021396674,0.720680636132159
2043,-0.921458963808752,1.25641616413735,2.1778751279461,0.603631494200553,1.57424363374555,-12.1428744603895,36.9563886607581,49.0992631211476,27.8727173477346,21.2265457734129,0.761552794031334
2044,-1.04249520465512,0.98740656654742,2.02990177120254,0.595925168726138,1.4339766024764,-13.1853696650446,37.9437952273055,51.1291648923501,28.4686425164608,22.6605223758893,0.795981837307025
2045,-0.947314007857261,0.892956022637513,1.84027003049477,0.58860587101806,1.25166415947671,-14.1326836729019,38.836751249943,52.9694349228449,29.0572483874788,23.9121865353661,0.822933617681093
