years,senbau_BAU_yearly_losses,NBS_yearly_benefits,senbau_GROSS_yearly_benefits,NBS_yearly_investments,senbau_NET_yearly_cashflow,senbau_BAU_cumul_losses,NBS_cumul_benefits,senbau_GROSS_cumul_benefits,NBS_cumul_investments,senbau_NET_cumul_cashflow,senbau_ROI
2033,-1.12977768475121,1.66891852134957,2.79869620610078,0.678902005941379,2.1197942001594,-9.294089895705,21.4289877003659,30.7230775960709,21.2889430057402,9.43413459033078,0.443147158024099
2034,-0.99320912701528,1.5953963670074,2.58860549402268,0.662759545718918,1.92584594830376,-10.2872990227203,23.0243840673733,33.3116830900936,21.9517025514591,11.3599805386345,0.517498836912742
2035,-1.39503963030781,1.40482715527836,2.79986678558618,0.647000909700471,2.15286587588571,-11.6823386530281,24.4292112226517,36.1115498756798,22.5987034611596,13.5128464145202,0.597947861820693
2036,-1.44225637104989,1.47423328478001,2.9164896558299,0.63161697158078,2.28487268424912,-13.124595024078,25.9034445074317,39.0280395315097,23.2303204327403,15.7977190987694,0.68004740375877
2037,-1.24527468410697,1.94670972897226,3.19198441307923,0.616598822053536,2.57538559102569,-14.369869708185,27.850154236404,42.2200239445889,23.8469192547939,18.373104689795,0.77046030531183
2038,-1.97540055283879,1.63900675945255,3.61440731229134,0.601937763651722,3.01246954863962,-16.3452702610237,29.4891609958565,45.8344312568803,24.4488570184456,21.3855742384347,0.874706503551483
2039,-1.18016695591558,1.36729694210169,2.54746389801726,0.58762530571065,1.95983859230661,-17.5254372169393,30.8564579379582,48.3818951548975,25.0364823241562,23.3454128307413,0.932455787058258
2040,-1.73815115060116,1.54287310355824,3.2810242541594,0.573653159450761,2.70737109470864,-19.2635883675405,32.3993310415164,51.6629194090569,25.610135483607,26.0527839254499,1.01728411168017
2041,-1.88533658987215,0.981312892746478,2.86664948261862,0.560013233177333,2.30663624944129,-21.1489249574126,33.3806439342629,54.5295688916755,26.1701487167843,28.3594201748912,1.08365529297519
2042,-0.861221891952599,0.950283373729949,1.81150526568255,0.546697627594342,1.26480763808821,-22.0101468493652,34.3309273079929,56.3410741573581,26.7168463443787,29.6242278129794,1.10882203053178
2043,-1.68559583618062,1.11085586735843,2.79645170353904,0.533698631229736,2.26275307230931,-23.6957426855458,35.4417831753513,59.1375258608971,27.2505449756084,31.8869808852887,1.17014103438409
2044,-1.88573464040365,0.863275213692361,2.74900985409601,0.521008715969489,2.22800113812652,-25.5814773259495,36.3050583890437,61.8865357149931,27.7715536915779,34.1149820234152,1.22841460014393
2045,-1.69362209352514,0.771612704311099,2.46523479783624,0.508620532697839,1.9566142651384,-27.2750994194746,37.0766710933548,64.3517705128294,28.2801742242757,36.0715962885536,1.27550827666365
2046,-1.60067437082841,1.11933504185321,2.72000941268162,0.496526907041192,2.22348250564043,-28.8757737903031,38.196006135208,67.071779925511,28.7767011313169,38.2950787941941,1.33076681095035
2047,-1.73368208630444,1.1497796800868,2.88346176639125,0.484720835213227,2.39874093117802,-30.6094558766075,39.3457858152948,69.9552416919022,29.2614219665302,40.6938197253721,1.3906986397284
2048,-1.24858326501973,1.33913080049602,2.58771406551575,0.473195479958785,2.11451858555696,-31.8580391416272,40.6849166157908,72.542955757418,29.7346174464889,42.8083383109291,1.43968014345461
2049,-3.06717274146545,0.846843061522093,3.91401580298755,0.461944166594213,3.45207163639333,-34.9252118830927,41.5317596773129,76.4569715604055,30.1965616130832,46.2604099473224,1.53197607529194
2050,-1.02603955062671,0.548007801484272,1.57404735211098,0.450960379141847,1.12308697296914,-35.9512514337194,42.0797674787972,78.0310189125165,30.647521992225,47.3834969202915,1.54607922077068
2051,-2.19846970161617,0.846954157981644,3.04542385959781,0.440237756556414,2.6051861030414,-38.1497211353356,42.9267216367788,81.0764427721143,31.0877597487814,49.9886830233329,1.60798601852591
2052,-2.19990305716478,0.737116474593718,2.9370195317585,0.429770089041154,2.50724944271735,-40.3496241925003,43.6638381113725,84.0134623038728,31.5175298378226,52.4959324660503,1.66561062165007
2053,-1.59648670572736,0.471254600665449,2.06774130639281,0.419551314451542,1.64818999194126,-41.9461108982277,44.135092712038,86.0812036102656,31.9370811522741,54.1441224579915,1.69533722257947
2054,-1.30084448225103,0.428718945004822,1.72956342725585,0.409575514784513,1.31998791247134,-43.2469553804787,44.5638116570428,87.8107670375215,32.3466566670586,55.4641103704629,1.71467830327413
2055,-1.70685184739547,0.353063550223139,2.05991539761861,0.399836912751168,1.66007848486744,-44.9538072278742,44.9168752072659,89.8706824351401,32.7464935798098,57.1241888553303,1.7444368117187
2056,-1.64561536311114,0.393029145045499,2.03864450815664,0.390329868430968,1.64831463972567,-46.5994225909853,45.3099043523114,91.9093269432967,33.1368234482408,58.772503495056,1.77363118667237
