years,sendr9_BAU_yearly_losses,sendr9_NBS_yearly_benefits,sendr9_GROSS_yearly_benefits,sendr9_NBS_yearly_investments,sendr9_NET_yearly_cashflow,sendr9_BAU_cumul_losses,sendr9_NBS_cumul_benefits,sendr9_GROSS_cumul_benefits,sendr9_NBS_cumul_investments,sendr9_NET_cumul_cashflow,sendr9_ROI
2032,-0.371799988711497,1.26729777664857,1.63909776536007,0.371886065523024,1.26721169983705,-22.3560668479092,118.849712812291,15.5563574830503,18.0751881627718,-2.51883067972148,-0.139352943772355
2033,-0.27716438877981,0.847096376698198,1.12426076547801,0.344591675392894,0.779669090085115,-28.5001720081765,147.699477478128,16.6806182485284,18.4197798381647,-1.73916158963636,-0.0944181529267208
2034,-0.231276291686009,0.768621033044933,0.999897324730941,0.319300543253966,0.680596781476976,-35.41713940313,179.117763823795,17.6805155732593,18.7390803814187,-1.05856480815939,-0.0564896882137846
2035,-0.308335077514623,0.642410359173307,0.95074543668793,0.295865640996794,0.654879795691136,-43.4572119096369,212.876018634671,18.6312610099472,19.0349460224155,-0.403685012468252,-0.0212075732703877
2036,-0.302569279947675,0.639884853805665,0.942454133753339,0.274150731565836,0.668303402187503,-52.6985770077479,249.174812043813,19.5737151437006,19.3090967539813,0.264618389719253,0.0137043380687754
2037,-0.247966779116958,0.802015558931835,1.04998233804879,0.2540295769555,0.795952761093293,-63.0130514238236,288.944434781413,20.6236974817494,19.5631263309368,1.06057115081255,0.0542127639964874
2038,-0.373361462338447,0.64092662776224,1.01428809010069,0.235385204334913,0.778902885765774,-75.0887168169239,331.737385600813,21.63798557185,19.7985115352717,1.83947403657832,0.0929097136065625
2039,-0.211720906347341,0.507500400176446,0.719221306523787,0.218109226035102,0.501112080488684,-88.2529793910305,377.139731564617,22.3572068783738,20.0166207613068,2.340586117067,0.116932130801592
2040,-0.295974169365073,0.543562804654294,0.839536974019367,0.20210120944537,0.637435764573997,-103.076002786911,425.588426763789,23.1967438523932,20.2187219707522,2.978021881641,0.147290312708633
2041,-0.304720128309365,0.328150449537047,0.632870577846411,0.187268093155802,0.44560248469061,-119.76050286019,476.041729967954,23.8296144302396,20.405990063908,3.42362436633161,0.167775459833579
2042,-0.132121435401032,0.301623104571554,0.433744539972586,0.173523645951706,0.26022089402088,-137.324746780465,528.50342090688,24.2633589702122,20.5795137098597,3.68384526035249,0.179005457188599
2043,-0.245446954838703,0.33466875206571,0.580115706904413,0.160787965514884,0.419327741389529,-156.67041388854,583.394095638063,24.8434746771166,20.7403016753746,4.10317300174201,0.197835743470106
2044,-0.260633810612245,0.246861122155421,0.507494932767665,0.148987013917461,0.358507918850204,-178.077976750503,640.237709239213,25.3509696098843,20.8892886892921,4.46168092059222,0.213587019977339
2045,-0.222183938687532,0.209434764543511,0.431618703231043,0.138052187207923,0.293566516023121,-201.401449637214,698.887295708113,25.7825883131153,21.0273408765,4.75524743661534,0.22614592423
2046,-0.199317356346711,0.288373586922383,0.487690943269094,0.127919916587158,0.359771026681936,-226.598337832392,760.247351060408,26.2702792563844,21.1552607930871,5.11501846329728,0.241784703735191
2047,-0.20490736324811,0.281161586171476,0.486068949419586,0.11853129885599,0.367537650563595,-253.894518793628,824.487929955569,26.756348205804,21.2737920919431,5.48255611386087,0.25771409677061
2048,-0.140072083605769,0.310820983851601,0.45089306745737,0.109831753985826,0.341061313471544,-282.754904255984,892.199490144561,27.2072412732614,21.383623845929,5.82361742733242,0.272340061221247
2049,-0.326601587414888,0.186567607121078,0.513169194535966,0.101770707821728,0.411398486714238,-315.590743708551,962.181985217993,27.7204104677973,21.4853945537507,6.23501591404665,0.290197878305112
2050,-0.105403269465688,0.114595093991687,0.219998363457374,0.0943012980733446,0.12569706538403,-349.825039849984,1033.68489115265,27.9404088312547,21.579695851824,6.36071297943068,0.294754524026021
