years,BAU_yearly_losses,sennbs_NBS_yearly_benefits,sennbs_GROSS_yearly_benefits,NBS_yearly_investments,sennbs_NET_yearly_cashflow,BAU_cumul_losses,sennbs_NBS_cumul_benefits,sennbs_GROSS_cumul_benefits,NBS_cumul_investments,sennbs_NET_cumul_cashflow,sennbs_ROI
2033,-0.546059214296417,0.910651330013735,1.45671054431015,0.678902005941379,0.777808538368773,-4.49214344959075,8.63843650127658,13.1305799508673,21.2889430057402,-8.15836305487283,-0.383220672471765
2034,-0.480051078057385,0.963318805731209,1.44336988378859,0.662759545718918,0.780610338069677,-4.97219452764814,9.60175530700779,14.5739498346559,21.9517025514591,-7.37775271680316,-0.336090228058997
2035,-0.674269154648776,0.932389801421355,1.60665895607013,0.647000909700471,0.95965804636966,-5.64646368229691,10.5341451084291,16.1806087907261,22.5987034611596,-6.4180946704335,-0.284002782790804
2036,-0.69709057934078,1.09089417649358,1.78798475583436,0.63161697158078,1.15636778425358,-6.34355426163769,11.6250392849227,17.9685935465604,23.2303204327403,-5.26172688617992,-0.22650255304977
2037,-0.601882763985036,1.58156274278627,2.18344550677131,0.616598822053536,1.56684668471777,-6.94543702562273,13.206602027709,20.1520390533317,23.8469192547939,-3.69488020146215,-0.154941615811417
2038,-0.954776933872081,1.4412400084947,2.39601694236678,0.601937763651722,1.79407917871506,-7.90021395949481,14.6478420362037,22.5480559956985,24.4488570184456,-1.90080102274709,-0.0777460075664484
2039,-0.570414028692529,1.31804101733199,1.88845504602452,0.58762530571065,1.30082974031387,-8.47062798818734,15.9658830535357,24.436511041723,25.0364823241562,-0.599971282433209,-0.0239638809743784
2040,-0.840106389457227,1.54287310355824,2.38297949301547,0.573653159450761,1.80932633356471,-9.31073437764457,17.5087561570939,26.8194905347385,25.610135483607,1.2093550511315,0.0472217357813513
2041,-0.911246018438204,0.981312892746478,1.89255891118468,0.560013233177333,1.33254567800735,-10.2219803960828,18.4900690498404,28.7120494459232,26.1701487167843,2.54190072913885,0.0971297777726647
2042,-0.41625724777709,0.950283373729949,1.36654062150704,0.546697627594342,0.819842993912697,-10.6382376438599,19.4403524235703,30.0785900674302,26.7168463443787,3.36174372305155,0.125828613142392
2043,-0.814704654153965,1.11085586735843,1.92556052151239,0.533698631229736,1.39186189028266,-11.4529422980138,20.5512082909288,32.0041505889426,27.2505449756084,4.75360561333421,0.174440754032226
2044,-0.911438409528429,0.863275213692361,1.77471362322079,0.521008715969489,1.2537049072513,-12.3643807075423,21.4144835046211,33.7788642121634,27.7715536915779,6.00731052058551,0.216311647065224
2045,-0.818584011870485,0.771612704311099,1.59019671618158,0.508620532697839,1.08157618348375,-13.1829647194127,22.1860962089322,35.369060928345,28.2801742242757,7.08888670406925,0.250666302401495
2046,-0.773659279233732,1.11933504185321,1.89299432108694,0.496526907041192,1.39646741404575,-13.9566239986465,23.3054312507854,37.2620552494319,28.7767011313169,8.485354118115,0.294868896868815
2047,-0.837946341713815,1.1497796800868,1.98772602180062,0.484720835213227,1.50300518658739,-14.7945703403603,24.4552109308723,39.2497812712326,29.2614219665302,9.9883593047024,0.341349074427323
2048,-0.603481911426204,1.33913080049602,1.94261271192222,0.473195479958785,1.46941723196344,-15.3980522517865,25.7943417313683,41.1923939831548,29.7346174464889,11.4577765366658,0.385334587111655
2049,-1.48246682504164,0.846843061522093,2.32930988656373,0.461944166594213,1.86736571996952,-16.8805190768281,26.6411847928904,43.5217038697185,30.1965616130832,13.3251422566353,0.441280117497285
2050,-0.504051368667983,0.548007801484272,1.05205917015226,0.450960379141847,0.601098791010408,-17.3845704454961,27.1891925943746,44.5737630398708,30.647521992225,13.9262410476458,0.454400230177785
2051,-1.12388375845389,0.846954157981644,1.97083791643553,0.440237756556414,1.53060015987912,-18.50845420395,28.0361467523563,46.5446009563063,31.0877597487814,15.4568412075249,0.497200227112883
2052,-1.16033227297393,0.737116474593718,1.89744874756765,0.429770089041154,1.4676786585265,-19.6687864769239,28.77326322695,48.4420497038739,31.5175298378226,16.9245198660514,0.536987509907617
2053,-0.867499014579964,0.471254600665449,1.33875361524541,0.419551314451542,0.919202300793871,-20.5362854915039,29.2445178276154,49.7808033191194,31.9370811522741,17.8437221668452,0.558714870709926
2054,-0.728399115155,0.428718945004822,1.15711806015982,0.409575514784513,0.747542545375308,-21.2646846066589,29.6732367726203,50.9379213792792,32.3466566670586,18.5912647122206,0.574750735557583
2055,-0.983007732190963,0.353063550223139,1.3360712824141,0.399836912751168,0.936234369662934,-22.2476923388499,30.0263003228434,52.2739926616933,32.7464935798098,19.5274990818835,0.596323360065744
2056,-0.976664115886226,0.393029145045499,1.36969326093172,0.390329868430968,0.979363392500757,-23.2243564547361,30.4193294678889,53.643685922625,33.1368234482408,20.5068624743842,0.618854203282812
2057,-0.814625782851847,0.523098991825097,1.33772477467694,0.381048876005488,0.956675898671455,-24.0389822375879,30.942428459714,54.981410697302,33.5178723242462,21.4635383730557,0.6403610039868
2058,-1.25463545111692,0.372502880968991,1.62713833208591,0.371988560569827,1.25514977151609,-25.2936176887049,31.314931340683,56.6085490293879,33.8898608848161,22.7186881445718,0.670368291619356
2059,-0.726694571250437,0.312437818124337,1.03913238937477,0.363143675019839,0.675988714354936,-26.0203122599553,31.6273691588073,57.6476814187626,34.2530045598359,23.3946768589267,0.682996343227614
2060,-1.04422057314711,0.308774023101573,1.35299459624868,0.354509097013375,0.998485499235303,-27.0645328331024,31.9361431819089,59.0006760150113,34.6075136568493,24.393162358162,0.704851628465205
2061,-1.10442128773016,0.115837533309889,1.22025882104005,0.346079826003778,0.874178995036274,-28.1689541208326,32.0519807152188,60.2209348360514,34.9535934828531,25.2673413531983,0.722882508935555
2062,-0.488574729024689,0.177007051588255,0.665581780612944,0.337850980343916,0.327730800269029,-28.6575288498572,32.2289877668071,60.8865166166643,35.291444463197,25.5950721534673,0.725248641498896
2063,-0.941362194131749,0.230013901361163,1.17137609549291,0.329817794459071,0.841558301033841,-29.598891043989,32.4590016681682,62.0578927121572,35.6212622576561,26.4366304545012,0.74215872147594
2064,-1.0357338057861,0.140998795629514,1.17673260141562,0.32197561608705,0.854756985328566,-30.6346248497751,32.6000004637977,63.2346253135728,35.9432378737431,27.2913874398297,0.759291289663316
2065,-0.910783091874325,0.0360672136229325,0.946850305497258,0.314319903583917,0.63253040191334,-31.5454079416494,32.6360676774207,64.1814756190701,36.257557777327,27.9239178417431,0.7701544051377
