,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2052,928263.76,312573.5500823891,1276307.6040302278,429770.08904115396,-7829098.681746614,-2636286.4461054597,-13869725.88973372,-4670342.252749037,-2879098.5766241825,-969476.6745311419,-3958589.7505015703,-1332972.91669992,-4950000.105122432,-3870508.931245044,-10990627.313109538,-9911136.139232151,-1666809.771574318,-1303313.5294055396,-3700865.5782178952,-3337369.336049117
2053,928263.76,302120.1914579442,1289070.68007053,419551.3144515421,-6011465.863833519,-1956540.0438817935,-10649678.477198778,-3466130.036679276,-2268855.1025891886,-738439.8352302144,-3150736.585985149,-1025464.077786881,-3742610.76124433,-2860729.27784837,-8380823.37460959,-7498941.891213629,-1218100.208651579,-931075.9660949125,-2727690.2014490613,-2440665.958892395
2054,928263.76,292016.42321471503,1301961.3868712354,409575.51478451345,-5114914.940900421,-1609067.6275989127,-9061383.827616494,-2850561.4554167585,-1938818.4015129788,-609920.196467318,-2719342.070324182,-855460.0309650844,-3176096.539387442,-2395572.8705762387,-7122565.426103516,-6342041.757292312,-999147.4311315947,-753607.5966338282,-2240641.2589494404,-1995101.424451674
2055,928263.76,282250.5540447662,1314981.0007399477,399836.9127511682,-6914805.861336478,-2102535.7980949483,-12250000.386515118,-3724770.4210088863,-2578717.343446666,-784092.2270978984,-3653018.0957521773,-1110747.209889578,-4336088.517889813,-3261787.7655843007,-9671283.043068452,-8596982.29076294,-1318443.57099705,-991788.5882053704,-2940678.193910988,-2614023.211119308
2056,928263.76,272811.28363112913,1328130.8107473473,390329.86843096843,-6437982.23196116,-1892085.2804764519,-12545806.064918887,-3687138.9407227603,-2417959.0248196456,-710623.9990759961,-3459540.29271549,-1016738.6347489478,-4020023.2071415144,-2978441.93924567,-10127847.04009924,-9086265.772203397,-1181461.2814004556,-875346.645727504,-2976514.941646764,-2670400.3059738125
2057,928263.76,263687.68957194,1341412.1188548207,381048.87600548816,-5502190.363675965,-1562982.3409056792,-10722212.449150579,-3045810.4147209283,-2105320.853079475,-598048.9764634919,-3042349.6295908154,-864226.5046486891,-3396869.51059649,-2459840.7340851496,-8616891.596071104,-7679862.819559764,-964933.3644421872,-698755.8362569901,-2447761.4382574363,-2181583.910072239
2058,928263.76,254869.21474187126,1354826.240043369,371988.56056982704,-8397830.722328044,-2305754.6938328287,-16364996.331506021,-4493263.6002773,-3093485.75768624,-849364.5016117559,-4515026.717959733,-1239670.6235143396,-5304344.964641804,-3882804.0043683117,-13271510.57381978,-11849969.61354629,-1456390.1922210727,-1066084.070318489,-3643899.098665544,-3253592.9767629607
2059,928263.76,246345.65507623358,1368374.5024438028,363143.67501983896,-5016950.439196861,-1331414.621237555,-9776617.11071544,-2594550.439595648,-1902215.7310683406,-504816.1961707381,-2804099.0251966906,-744160.9174322466,-3114734.7081285208,-2212851.414000171,-7874401.3796470985,-6972518.085518749,-826598.425066817,-587253.7038053084,-2089734.2434249101,-1850389.5221634014
2060,928263.76,238107.1477636126,1382058.2474682406,354509.0970133745,-7288381.112848787,-1869528.5902302263,-14202992.90592547,-3643182.332720537,-2737796.1751168207,-702266.8195246513,-4076205.4350879816,-1045579.598892598,-4550584.937731966,-3212175.677760805,-11465196.73080865,-10126787.470837489,-1167261.7707055751,-823948.9913376283,-2940915.513195886,-2597602.7338279393
2061,928263.76,230144.15983337775,1395878.829942923,346079.8260037777,-7179371.704620425,-1779979.506138851,-15389620.84885498,-3815544.1513885697,-2670370.1542698974,-662064.0835947025,-4015575.4507283224,-995580.4354092279,-4509001.550350527,-3163796.2538921023,-12719250.694585081,-11374045.398126658,-1117915.4225441483,-784399.0707296231,-3153480.067793867,-2819963.715979342
