,Papallacta_SEMBASE-superficial,Mica_SEMBASE-superficial,Orientales_SEMBASE-superficial,Occidentales_SEMBASE-superficial,Bellavista_SEMBASE-superficial,Puengasi_SEMBASE-superficial,El Placer_SEMBASE-superficial,El Troje_SEMBASE-superficial,Paluguillo_SEMBASE-superficial,Norte_SEMBASE-superficial,Centro_SEMBASE-superficial,Sur_SEMBASE-superficial,Parroquias Norte_SEMBASE-superficial,Parroquias Sur_SEMBASE-superficial,Parroquiales Orientales_SEMBASE-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2073-06-30,9784617.144982304,2172213.2264370685,5811776.815956362,3190378.2757421653,8815216.59869292,5047674.754133638,2159281.1456639543,2253436.443253399,1758295.70095332,5209793.009827515,6324468.428273545,2345719.6108790245,820696.6653383105,2147990.07928107,2756665.1862009293,9781983.991575923,2082234.4548287315,5749280.258079985,2096761.5108332331,8541293.910135157,4964515.138501765,1570790.856817361,2121400.9117584676,1757822.5232861934,5047904.700889878,5755547.539892469,2162105.2451315266,795194.4630335832,2066472.4361412686,2723635.9917922644
2073-07-31,12287911.655255407,2309128.2185577075,6321476.773191232,2895669.5861876966,10794432.658311551,5467130.423004372,2041382.1490458797,2383418.8025735915,2208137.7244493966,6379509.701062126,6600116.016185166,2548011.892090971,1004961.6804888053,2433465.8389973296,3429105.469920722,12285895.076231819,2303231.139533131,6301049.191694277,1828341.724635185,10527548.29157431,5450141.952919617,1472960.0561091532,2303857.0605740286,2207775.3451988576,6221781.040320417,6107179.747898131,2401463.259500775,980114.7459455683,2377039.789611799,3397020.7947979164
2073-08-31,10849000.627414266,2145746.171849847,5678532.327948505,2707940.443360155,9568018.814591954,4942064.055192527,1893336.19227641,2185923.5579575878,1949565.4127463433,5654699.119423846,6006589.096517327,2317199.929489302,890782.5516385109,2191372.4321944905,3032030.148620606,10846973.271392884,2076956.7254104635,5623338.540017185,1650425.688686204,9303564.168853546,4873249.418987577,1325344.0530513194,2068630.5569262018,1949201.0968693013,5498406.423792447,5467712.707513135,2146522.8220990854,866161.8241202651,2117274.5125140613,3000232.485504587
2073-09-30,10585361.677385602,2237371.184457319,5663396.1040562205,2683103.3223085254,9345689.214882122,4971089.755977968,1882835.5057384504,2230070.269002883,1902189.4934261926,5523302.325995334,6023694.830563884,2329172.143883091,870083.6659055258,2186784.3091403674,2959559.978411716,10582914.393631438,2151297.599750518,5594957.44023567,1588272.3654086392,9071617.194142463,4885424.94101835,1293470.7206338427,2099092.556528571,1901749.7165355692,5361325.761738194,5451800.782998539,2146111.7731837616,844567.5607746632,2105388.1045857407,2926545.4839411518
2073-10-31,9994557.454116037,2439665.339926587,6817279.590410473,3064102.9393540323,8955967.237059215,5874002.955483175,2168298.8245986635,2539732.3247950296,1796021.9745046522,5292976.637101996,7070289.402503845,2541274.7384346114,833800.5497702131,2338302.186847944,2810059.057112512,9991921.89128824,2376513.038057104,6764197.581303206,1905674.0745306378,8665936.766188089,5809123.99318847,1547074.5165940197,2418794.6930607227,1795548.3638644961,5121568.628817161,6490187.506711853,2359290.505775711,806798.7129321112,2260695.9729536935,2775114.2266668957
2073-11-30,9165687.208548283,2388197.400298866,5925427.530657703,2736634.983994292,8195000.735811316,5221598.123439225,1934346.3452441038,2353274.1424335088,1647073.991376126,4843245.434864488,6290793.866658272,2337541.0459032757,762954.5685040336,2135666.143078238,2574847.3849081476,9162713.397373756,2259300.6029792703,5849277.605229786,1686765.9949859928,7931670.064260763,5111921.439486356,1366642.4184564657,2201685.19330481,1646539.5975080645,4687617.00797811,5715653.56674977,2144844.7330649267,738438.4829826772,2045972.0008203592,2543018.097539191
2073-12-31,8425172.08821263,2206750.3361504963,5918233.572821647,2779055.7153203944,7598393.940382654,5137858.289919733,1949132.3611197039,2259679.307818565,1514003.4242518093,4490650.818766148,6228408.345735401,2238630.3219859153,707410.475849625,2034623.0082403983,2374606.1668569813,8421650.99761528,2027821.2663987994,5817549.821303677,1707988.4522654274,7329346.783332729,4989159.467734927,1366569.0381654995,2076561.1261132383,1513370.684271466,4331643.948949641,5605916.345052487,2023181.9589570176,682362.185528277,1929769.1092493858,2342001.626444845
2074-01-31,8590966.275958799,2370107.860739991,7264529.673055159,3292293.4786290415,7861868.179097934,6159831.971644255,2315772.8204641426,2587488.5799728693,1543796.6397897957,4646364.093846879,7449600.93906709,2517804.7733301776,731939.9274740176,2269952.6806426574,2434883.321378489,8587178.214584315,2221331.1877307245,7198580.801708881,2099662.5002025673,7562393.5494380165,6048744.406288594,1672113.8865966627,2417204.905335045,1543115.9251608013,4469374.587717867,6809359.974262724,2300289.210932587,704058.8394526794,2169942.9535304517,2398614.3375069313
2074-02-28,6901381.807780786,1893722.3816946973,6158088.303104907,2950710.486315876,6391694.500048962,5171618.038608269,2043336.346490138,2143699.5932315756,1240178.3108582075,3777491.4495289354,6337747.754917588,2094616.1826090459,595066.7579545584,1874539.4653169767,1965053.740716742,6897643.349509234,1724485.3390815188,6057893.092287543,1881967.7742567644,6123046.774165426,5027465.864192989,1462427.998003627,1965912.16704664,1239506.5099068093,3618720.6435317667,5720708.735392063,1882859.8251070257,570055.6546748012,1772001.4415937029,1932458.7371247157
2074-03-31,9185912.5734497,2306286.889746914,7445449.3582857745,3512909.6331930663,8404487.762819886,6259985.338334187,2442142.6187562644,2596859.0149261574,1650708.4894489113,4967052.2678265525,7645291.772332402,2577832.0664321617,782457.8107185313,2337706.436711446,2603287.0341967917,9182370.142262653,2199497.085891824,7388939.410004577,2302633.9770117593,8100829.82292857,6173767.679902339,1791409.799985505,2448888.721418332,1650071.9145645984,4787590.425350785,7021323.982112568,2373474.294658276,754187.2565146498,2247333.8846506844,2566563.545328628
