,Papallacta_BAU-superficial,Mica_BAU-superficial,Orientales_BAU-superficial,Occidentales_BAU-superficial,Bellavista_BAU-superficial,Puengasi_BAU-superficial,El Placer_BAU-superficial,El Troje_BAU-superficial,Paluguillo_BAU-superficial,Norte_BAU-superficial,Centro_BAU-superficial,Sur_BAU-superficial,Parroquias Norte_BAU-superficial,Parroquias Sur_BAU-superficial,Parroquiales Orientales_BAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2054-03-31,8558897.23830371,1836959.1453195254,7426233.554372929,2332711.8020638204,7597118.72849807,6042955.795660488,1795270.4808376487,2266057.270007035,1538033.8337231763,4489897.168542359,6907701.546987123,2221796.400929145,707291.7536231703,2120343.732042581,2397804.8930472312,9182370.142262653,2199497.085891824,7388939.410004577,2302633.9770117593,8100829.82292857,6173767.679902339,1791409.799985505,2448888.721418332,1650071.9145645984,4787590.425350785,7021323.982112568,2373474.294658276,754187.2565146498,2247333.8846506844,2566563.545328628
2054-04-30,9771445.285556244,2073511.8582224543,7088947.881193566,2423670.166055859,8613890.025892446,5907209.068602689,1831140.662984569,2344912.175224616,1755928.717814457,5090809.005302435,6816574.309128171,2346592.124548772,801953.1614105867,2238749.5595529056,2730427.45917892,10367168.87960662,2343987.34323708,7076157.737687316,2345541.8817267288,9082908.92199856,6015423.954969363,1799661.4387985484,2479797.485083686,1862980.2476653098,5367999.172901148,6886795.200679808,2461224.9037777963,845618.8206380658,2343434.826507746,2890215.777482011
2054-05-31,11013683.183843018,2518039.1091964827,7711508.223313556,2645261.7310294025,9687466.382593699,6539750.513607703,2007119.9081438761,2689430.9568158616,1979158.8681365906,5725292.632112875,7529597.3916520495,2665703.1664513787,901903.120219473,2526378.9981773095,3074988.425058716,11499356.699028546,2597140.400674052,7557334.878285321,2455306.1240777615,10038466.129366828,6465117.45520078,1899385.1796532744,2694306.857215356,2066434.3988154298,5932733.482455795,7372369.177974954,2678074.1261917823,934581.1966440517,2556911.491141039,3201527.928110669
2054-06-30,14025462.706029467,3686769.817118978,7417785.347415094,2068992.4624920106,12013621.499602824,6838880.063669842,1728837.4140779593,3219273.402842577,2520375.6482734955,7100050.306265269,7562943.295415159,3127874.307366602,1118468.161613023,2975206.330731878,3877468.613730132,14415671.361495703,3446217.328384652,7627661.091421553,2132434.7448182628,12349318.983377667,6882877.772944074,1766527.378783605,3129365.315766874,2590496.1436607777,7298447.5191762,7633929.264215855,3097752.24633034,1149721.5973524607,2982157.708614751,3985519.129918782
2054-07-31,12718825.323976832,3344640.3858254272,6302249.650665235,1620540.8114450227,10830869.27477269,5902440.985450312,1404435.5317232914,2837338.389990396,2285572.9107186366,6401043.74139066,6453668.840814734,2757075.6787585453,1008353.9294813378,2635361.798944127,3508681.5541157722,12825133.578264207,3104346.186190739,6861434.872280267,1876836.4841809205,10981720.887137784,6193337.808979693,1567265.4055129525,2814434.14405734,2304676.5040140776,6490197.044298428,6850414.571876094,2774615.833798819,1022398.2145925272,2669626.681992304,3545180.772431162
2054-08-31,12461851.546089593,3151236.4981333157,5628414.537864099,1257931.8259048455,10530068.14137621,5342535.8929417785,1160299.121274376,2607301.698720299,2239394.7228323,6223270.271553339,5748252.978185298,2555080.7039983314,980349.3439621251,2472952.244454582,3428044.954185778,12561983.727015197,3052160.2737428583,6492836.68915369,1673976.6486664033,10715553.654973362,5910300.59955461,1433475.0098788051,2716478.499482468,2257388.4757446307,6332892.210089256,6485098.301445226,2675180.528078242,997618.0452780199,2582289.6552950325,3467583.7114573917
2054-09-30,11525424.188041227,2892620.5392250447,5988630.755026937,1262670.6258418711,9763468.942296706,5484918.632180588,1175859.4520842931,2526940.1724165,2071118.7265910087,5770210.144897354,5888536.175466986,2453273.2701621857,908978.9585278236,2380102.799940233,3173382.5238675615,11652645.872588309,2966119.4980483586,6852662.59303292,1702996.4654186217,9977198.972591681,6127218.924381722,1468825.883202709,2728465.1972786393,2093980.463304119,5896524.592801683,6708605.5418745065,2637576.0383248967,928877.2243482855,2531339.7726756707,3221009.774033764
2054-10-31,11125837.799381325,3048203.286634899,6602890.308763555,1771832.3769691628,9562374.757389586,5986338.127897682,1492440.997272013,2738013.834805617,1999313.0525488243,5651363.481617245,6602591.141670914,2618774.3742403835,890257.0899129703,2479416.2078323606,3079698.851815314,11333158.533919383,3155683.7314316398,7204366.099313494,2010593.46159383,9791689.157166569,6457873.5467406,1662652.9015382691,2903256.4730428737,2036568.5885453126,5786888.291885441,7166923.990400967,2764073.1549220695,911606.2605322074,2603834.724537308,3143165.538276586
2054-11-30,9467721.262961108,2356555.3244175254,7327601.448089085,1820280.4893788612,8214924.365112461,6198517.156209935,1537542.9305440465,2488916.881480737,1701349.5109541113,4855020.299781464,6830060.060480227,2372631.1410805765,764809.4583919701,2275165.3603575425,2629955.8268059813,9793986.627628632,2716369.791061968,7606185.488958695,2040141.2876874192,8537064.745983038,6551316.352374682,1686847.5232946887,2735974.415159669,1759979.3969848652,5045405.264875975,7270741.372540725,2574201.107955058,794800.7278510209,2426533.918576058,2725228.978347577
2054-12-31,9205623.275610227,2221032.0178866633,6492139.393985702,1574803.6461855443,7939029.229749932,5549513.861604767,1347430.6610154684,2272551.04247456,1654250.5026271578,4691966.274782211,6090451.1545412,2188476.125146799,739123.6212897185,2111816.0191819705,2551385.7888200767,9673418.605072657,2710829.9439294534,6889879.919091267,1842055.9926405216,8388986.828470241,6042844.9435314,1534862.4131838847,2609500.19879302,1738313.3233315563,4957891.215625911,6688729.530832005,2461910.977181879,781014.6737305793,2320463.8011005423,2686569.5901863845
