,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-1508559.3188294182,-1110734.1516878083,-1583987.2847708892,-1166270.8592721988,-546492.2623406454,-402375.7049778471,-597690.538957922,-440072.38262025866,-962067.0564887727,-910868.7798714961,-1037495.0224302438,-986296.7458129672,-708358.4467099612,-670661.7690675496,-763895.1542943516,-726198.47665194
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-610292.5895618221,-434323.5274393501,-640807.2190399133,-456039.7038113176,-244345.71851465636,-173892.15631175163,-269909.6869207876,-192085.1232974245,-365946.87104716577,-340382.9026410345,-396461.5005252569,-370897.53211912565,-260431.37112759845,-242238.4041419256,-282147.547499566,-263954.58051389316
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-1332769.382852865,-916764.5101478565,-1469378.2445952836,-1010732.8724380119,-487411.9618743052,-335273.2995046853,-543790.0976492044,-374053.80773941777,-845357.4209785596,-788979.2852036605,-981966.2827209784,-925588.1469460792,-581491.2106431713,-542710.7024084388,-675459.5729333267,-636679.0646985942
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-1517895.4846693303,-1009188.2379354488,-1673479.7718479368,-1112630.0323238324,-557079.4231100032,-370379.9155321645,-627731.0377318297,-417353.35947980767,-960816.0615593271,-890164.4469375006,-1116400.3487379337,-1045748.7341161071,-638808.3224032843,-591834.8784556411,-742250.1167916679,-695276.6728440247
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-1261200.4488613815,-810479.3493396639,-1390473.4948696732,-893553.4826469794,-475129.44916146685,-305330.21706117626,-540741.6334266356,-347494.26835056243,-786070.9996999146,-720458.8154347459,-915344.0457082062,-849731.8614430375,-505149.1322784876,-462985.08098910144,-588223.2655858032,-546059.214296417
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-1157373.2505236778,-718883.9765916641,-1276004.0087023547,-792569.5841923096,-437714.71184124093,-271879.5276448012,-503141.7740162431,-312518.5061349243,-719658.5386824368,-654231.4765074346,-838289.2968611137,-772862.2346861116,-447004.44894686295,-406365.47045673983,-520690.05654750846,-480051.07805738534
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-1675747.8728795717,-1006054.633736089,-1847512.0298497279,-1109175.2336940381,-623967.5186365794,-374606.12278530595,-724406.9182963198,-434906.07904526213,-1051780.3542429924,-951340.954583252,-1223544.5112131485,-1123105.1115534082,-631448.510950783,-571148.5546908269,-734569.1109087322,-674269.1546487759
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-1672980.4922373532,-970803.4068554733,-1936684.0423262662,-1123826.2938610674,-627157.4652205592,-363929.29068570514,-735391.450722105,-426735.714520287,-1045823.0270167941,-937589.0415152482,-1309526.577105707,-1201292.591604161,-606874.1161697682,-544067.6923351863,-759897.0031753622,-697090.5793407804
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-1522067.7888484956,-853693.4237625758,-1761983.72406574,-988256.8496831519,-581670.0401116799,-326245.5796523544,-688874.4061011358,-386374.0856981154,-940397.7487368156,-833193.3827473598,-1180313.68395406,-1073109.3179646041,-527447.8441102214,-467319.33806446043,-662011.2700307975,-601882.7639850365
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-2455171.2217866355,-1330997.5362402413,-2842167.5856207544,-1540796.0228901096,-903715.1610218526,-489922.1048655525,-1080976.608596057,-586019.0890180281,-1551456.0607647828,-1374194.6131905785,-1938452.4245989018,-1761190.9770246975,-841075.4313746887,-744978.4472222131,-1050873.9180245572,-954776.9338720815
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,-1554753.8207868254,-814675.44286707,-1799821.891788349,-943088.6595489921,-588709.0816775935,-308477.667282941,-711224.7107820929,-372674.6308564628,-966044.7391092319,-843529.1100047325,-1211112.8101107555,-1088597.181006256,-506197.775584129,-442000.81201060716,-634610.992266051,-570414.0286925293
