,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2051-11-30,-523752.9027552493,-383120.28793917736,-912492.5410808083,-428934.04285430047,-536015.11461832,-810758.625095224,-302482.00887653255,-370980.0211984138,-94118.3966251181,-316784.93273942824,-978567.8841207987,-316842.4923676979,-49903.00717096578,-258581.48300399212,-155187.04312874516
2051-12-31,-589112.3137820046,-345593.25487009296,-438407.7305234587,-335123.7366827999,-566291.4346355423,-459549.73760100733,-220339.0085565506,-272031.5207561534,-105863.48278662586,-334678.23786960356,-595756.6722645201,-243898.30146804266,-52721.73256456875,-194777.8330233721,-170199.59780193027
2052-01-31,-594279.9375775605,-363375.6161356699,99774.94691224024,-99004.18284415733,-511852.6602566168,-87032.32960131578,-60667.11216627667,-182549.03197449958,-106792.10478268773,-302504.9222116601,-128745.39104157127,-160798.4012775137,-47653.482669891324,-123675.45119641116,-164629.16952184914
2052-02-29,-543867.1003944911,-378849.174077027,234367.37516230159,12759.512073724065,-442745.8968631234,1349.4335897723213,6818.604367415886,-162346.92516282247,-97732.91794089018,-261662.82504610624,6936.620939916,-133916.54914486967,-41219.642997956835,-101443.57459363341,-147609.56350018876
2052-03-31,-497615.602478005,-460471.43424691586,-33921.769295362756,84915.96693032049,-386893.41468953155,-223580.09675321262,24429.050519193057,-241489.144785753,-89421.52376529784,-228654.00808151346,-179213.841477938,-178814.57765174145,-36019.776907595224,-144082.7729408336,-132892.5216493248
2052-04-30,-438099.93331689574,-332548.30741292983,26089.348001010716,306205.2252269825,-283106.1368576158,-125727.56690079067,150986.2156108576,-149812.8861464695,-78726.55801704642,-167315.7268828526,14578.90595176164,-95438.41257473174,-26357.18134144426,-92572.31629271014,-110159.91609753435
2052-05-31,-449261.0273090452,-390706.8902928401,-453944.87083158083,36979.87935328111,-359159.61627139896,-490083.48818445764,-25533.748980267672,-272573.7028770526,-80732.2066074356,-212263.33321639523,-459301.70436191,-203768.382143402,-33437.760274867294,-176701.81184588652,-121151.56353511382
2052-06-30,-460059.4001169298,-350200.6255117059,-890840.1336930105,-236389.71130636334,-435945.5454155039,-781190.5256134374,-197494.22944787447,-337119.42258267896,-82672.67420101212,-257643.8173405612,-863909.5154339839,-273957.79538170574,-40586.530278183054,-233878.82014875207,-132166.9628710267
2052-07-31,-390685.3767038621,-224544.2315392592,-1046068.4000211991,-404730.64863534714,-420898.5065453816,-836387.2489872454,-291951.1171763351,-306441.85190784466,-70206.16219368344,-248751.01736831944,-992613.2822319148,-265945.1513048648,-39185.65095937473,-226771.41423667083,-118264.16023184778
2052-08-31,-338439.3450033255,-215545.49689531839,-1211891.7992095929,-532782.7481321157,-409882.9318790566,-949640.5290456982,-370377.2589070925,-335961.3882429078,-60817.5502970973,-242240.8127405215,-1159710.9347608378,-294883.6873543621,-38160.10095794033,-246387.4304576423,-107831.49422411015
2052-09-30,-285341.92703473195,-395040.88519476843,-1356230.9695955524,-572775.3257213075,-376286.51441752166,-1129427.4037511903,-408197.1280106078,-455243.6161453808,-51275.944288141094,-222385.3300207546,-1352120.1286042295,-374715.61474741716,-35032.274492271245,-301089.8376929059,-94565.30162902968
2052-10-31,-374692.8454865478,-437802.2071449533,-896857.2950612037,-375444.3983779822,-400508.597011351,-823416.9357580775,-275250.1126640374,-393657.0254772792,-67332.30433393316,-236700.58083370887,-966988.4101003911,-318584.69325735,-37287.35038175678,-253848.144905895,-113047.27230593283
2052-11-30,-437380.3079800671,-520284.9943283866,-497244.4891503705,-201834.64213219774,-408764.02308270894,-576846.7766260924,-160378.6985037527,-363758.9190169296,-78597.24134401837,-241579.53764188103,-650153.206330155,-284272.43501795107,-38055.93054900039,-221500.92352796183,-124974.98175851628
2052-12-31,-541426.7661000984,-572777.8319380202,-593117.966535273,-244181.85522941337,-504594.99654998165,-667337.0335023031,-191206.04219784914,-408985.48535043583,-97294.38986818772,-298215.64296103735,-756907.5841982486,-324148.77183294366,-46977.79417880322,-255356.66144635272,-154537.3037247106
2053-01-31,-610999.2225770634,-515638.35349180084,-512767.70339682326,-223561.03313474567,-556513.1793249194,-585799.608688551,-172740.263393678,-365191.1317137587,-109796.56029709848,-328899.28898102697,-668541.5617847377,-296905.1810004043,-51811.37699514988,-237867.43933448684,-172858.73466242314
2053-02-28,-564171.7111663371,-235935.68577853916,-41646.89057957381,-12225.13846029248,-465602.332892661,-131701.64797946438,-18660.83992365282,-131287.64829854248,-101381.65649659047,-275170.97873956244,-133346.68826068658,-118877.85650893766,-43347.57719230675,-105255.65136966808,-153872.67299867515
2053-03-31,-424914.61555120535,-278984.2171073118,-166555.564831255,-46222.90962776169,-359873.886332931,-238611.16466930136,-46562.36612333893,-175431.6944480494,-76357.15641455166,-212685.46682276204,-252310.8832422197,-143972.9093251014,-33504.258817595895,-119733.06291205692,-116985.25397300487
2053-04-30,-412615.2420407627,-271688.6179412587,-120122.9034961965,62118.32353522489,-322866.8335507205,-202643.84719759878,14288.339322860818,-157025.21217331034,-74146.95899472525,-190814.2986284746,-169032.66388546955,-121329.23112256802,-30058.902203571983,-106236.9089728333,-110437.46656435449
2053-05-31,-472636.4422355965,-160510.0162048731,141894.0217084391,224801.6557498579,-331651.40753512457,30667.03431219887,122178.81912998296,-47171.5604382623,-84932.7686697368,-196005.9818532588,130089.2259332696,-36396.20780446334,-30876.74604152015,-47344.182349143084,-121962.52367230924
2053-06-30,-410005.7353845835,-209174.30248804367,-282644.8007914666,-4006.0377233079635,-337159.20281606354,-290365.6118877381,-28887.408216064796,-153645.03996129427,-73678.03064860962,-199261.08886429202,-283692.5042661084,-125972.7512163287,-31389.52178217552,-114621.0632916321,-111681.17159608332
2053-07-31,-366735.04629082605,-85699.89926435053,-525480.9068875546,-212715.84554523416,-353545.9520718381,-408403.16704715043,-150566.21047726506,-140335.9048293922,-65902.28781846119,-208945.65767445695,-491418.28934606723,-134995.3412632849,-32915.128137888154,-122564.32543669827,-106073.86677454086
2053-08-31,-197843.3786528334,-131767.1508261019,-733708.9757778067,-358636.75879427465,-251333.02071783505,-575486.4512701351,-243446.92876932328,-206545.84101542458,-35552.455143914325,-148537.8152442407,-718756.7391953543,-183381.6014392164,-23399.104228830314,-150638.60227980348,-64429.81682669232
2053-09-30,-242898.59195141308,-216948.60504603712,-953573.5747635635,-464498.1106783822,-314580.33604454435,-767746.950857915,-317376.86800326663,-292356.1404630181,-43648.876973669045,-185916.97860232368,-952660.3834532071,-253082.96117349877,-29287.429285746883,-204704.03334973566,-79817.21571101062
