,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,-497355.0113509345,-243469.48814697863,-604538.1247658819,-295938.6845269535,-159074.5924979761,-77871.55799932944,-196042.24570856016,-95968.28046067235,-338280.4188529584,-301312.76564237435,-445463.53226790583,-408495.87905732176,-165597.9301476492,-147501.20768630627,-218067.12652762406,-199970.40406628116
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,-327168.9371156997,-154802.38001887384,-397675.88786999,-188163.2604278163,-120412.14912872,-56973.89071420787,-149878.91172721086,-70916.30536369028,-206756.7879869797,-177290.02538848884,-277263.73874127003,-247796.97614277917,-97828.48930466597,-83886.07465518356,-131189.36971360844,-117246.95506412603
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,-268280.2765285234,-122693.5808416746,-326096.35287214856,-149134.81434793575,-86452.87513399427,-39537.80338048881,-108685.3574483522,-49705.464236682084,-181827.40139452915,-159594.9190801712,-239643.4777381543,-217410.99542379635,-83155.77746118579,-72988.11660499251,-109597.01096744694,-99429.35011125368
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,-318155.4158780682,-140637.11304705974,-386719.8964711412,-170945.28989065767,-101796.56027945499,-44998.053282582616,-129254.61968819165,-57135.5873693804,-216358.8555986132,-188900.79618987654,-284923.3361916862,-257465.27678294954,-95639.05976447713,-83501.52567767934,-125947.23660807507,-113809.70252127727
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,-600553.3691165837,-256590.01721559392,-729976.3736197646,-311886.76961316203,-199658.0451599434,-85305.0934010771,-256047.86517570718,-109397.98111547477,-400895.3239566403,-344505.5039408766,-530318.3284598212,-473928.5084440574,-171284.9238145168,-147192.03610011915,-226581.67621208495,-202488.78849768726
2046,928263.76,383342.5873346827,1202339.4970953888,496526.9070411922,-235000.35778586706,-97047.46545121014,-299926.62382300553,-123859.89084273527,-82159.8830894351,-33929.345855987194,-106418.10740857462,-43947.19948268061,-152840.47469643195,-128582.25037729244,-217766.74073357042,-193508.51641443092,-63118.11959522295,-53100.26596852953,-89930.54498674808,-79912.69136005465
2047,928263.76,370522.5085392255,1214362.8920663428,484720.8352132265,-395914.8430166789,-158031.98091289648,-505298.81446226925,-201693.30352448174,-144159.7993792576,-57542.32018765227,-188591.12941552198,-75277.37413694241,-251755.04363742127,-207323.7136011569,-361139.01508301165,-316707.68504674727,-100489.6607252442,-82754.60677595407,-144150.98333682946,-126415.92938753933
2048,928263.76,358131.17005531176,1226506.5209870061,473195.4799587849,-155706.5066916343,-60072.74637835719,-198725.34365181578,-76669.73861143594,-54995.063218492964,-21217.51078347034,-72664.48025459301,-28034.505338265597,-100711.44347314135,-83042.02643704129,-143730.28043332283,-126060.86339722277,-38855.23559488685,-32038.24104009159,-55452.2278279656,-48635.23327317034
2049,928263.76,346154.23357366305,1238771.5861968761,461944.16659421293,-696892.6673924838,-259874.78727420198,-889431.2624344722,-331673.3995566737,-166171.72562086256,-61966.27381413953,-221756.8120169078,-82694.23262139586,-530720.9417716212,-475135.855375576,-723259.5368136097,-667674.4504175645,-197908.51346006244,-177180.55465280614,-269707.1257425342,-248979.16693527787
2050,928263.76,334577.84029930696,1251159.302058845,450960.3791418472,-497834.3780738921,-179436.4470748179,-635376.8379143629,-229011.4290420972,-208914.0951314356,-75299.74751697695,-281584.636520661,-101492.68301559906,-288920.2829424565,-216249.74155323108,-426462.7427829273,-353792.2013937019,-104136.69955784096,-77943.76405921884,-153711.68152512028,-127518.74602649815
2051,928263.76,323388.5949152397,1263670.8950794335,440237.7565564138,-719312.1335965614,-250594.01240577913,-963947.0544814199,-335819.9435917119,-214546.27933017258,-74743.6480951029,-292067.72958272265,-101750.57646313896,-504765.8542663888,-427244.40401383874,-749400.7751512473,-671879.3248986972,-175850.36431067623,-148843.43594264018,-261076.29549660903,-234069.36712857295
