,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-3121157.211371209,-2298070.6586644305,-3277215.0719397697,-2412974.191597652,-1130673.6462220247,-832501.4585748559,-1236601.1150853557,-910494.5847315695,-1990483.5651491843,-1884556.0962858533,-2146541.425717745,-2040613.956854414,-1465569.2000895746,-1387576.073932861,-1580472.7330227962,-1502479.6068660826
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-1262674.3232313558,-898600.401598655,-1325808.0393929237,-943530.4216785879,-505542.86589239235,-359776.8751277619,-558433.835008526,-397417.49647742993,-757131.4573389634,-704240.4882228298,-820265.1735005314,-767374.2043843977,-538823.5264708931,-501182.9051212251,-583753.5465508259,-546112.925201158
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-2757453.8955576518,-1896754.1589266,-3040092.9198523113,-2091171.4602165765,-1008438.5418089075,-693668.8955269352,-1125082.9606535265,-773904.4298056919,-1749015.3537487444,-1632370.9349041253,-2031654.3780434038,-1915009.9591987848,-1203085.2633996648,-1122849.7291209078,-1397502.5646896414,-1317267.0304108844
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-3140473.4165572342,-2087975.6646940312,-3462371.941754351,-2301993.17032517,-1152578.116779317,-766303.273514823,-1298753.8711693028,-863489.7092685676,-1987895.2997779173,-1841719.5453879314,-2309793.824975034,-2163618.070585048,-1321672.3911792082,-1224485.9554254636,-1535689.8968103467,-1438503.4610566022
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-2609380.2390235476,-1676853.8262199939,-2876841.7135234615,-1848731.3434075434,-983026.446540966,-631717.6904713992,-1118775.7932964878,-718953.6586563361,-1626353.7924825815,-1490604.4457270599,-1893815.2669824953,-1758065.9202269737,-1045136.1357485947,-957900.1675636577,-1217013.6529361443,-1129777.6847512072
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-2394565.345911057,-1487346.1584655116,-2640008.293866941,-1639799.1397082268,-905616.6451887743,-562509.3675409679,-1040982.9807232616,-646590.0126929468,-1488948.7007222828,-1353582.3651877956,-1734391.6486781663,-1599025.3131436792,-924836.7909245437,-840756.1457725648,-1077289.772167259,-993209.12701528
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-3467064.5645784237,-2081492.3456608735,-3822438.6824477124,-2294845.311091113,-1290967.2799377502,-775047.1505902881,-1498772.9344061785,-899805.6807833008,-2176097.2846406735,-1968291.6301722452,-2531471.402509962,-2323665.748041534,-1306445.1950705852,-1181686.6648775726,-1519798.160500825,-1395039.6303078122
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-3461338.9494565926,-2008558.7728044272,-4006932.5013646884,-2325157.849367725,-1297567.1694218463,-752957.153142838,-1521499.553218148,-882901.478317835,-2163771.780034746,-1939839.3962384446,-2709365.3319428423,-2485432.9481465407,-1255601.6196615892,-1125657.294486592,-1572200.6962248872,-1442256.3710498903
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-3149105.77003137,-1766262.2560605018,-3645483.5670325654,-2044669.3441720386,-1203455.2554034758,-674990.8544531472,-1425257.3919333844,-799394.6600650663,-1945650.5146278944,-1723848.3780979859,-2442028.3116290895,-2220226.175099181,-1091271.4016073546,-966867.5959954355,-1369678.4897188914,-1245274.6841069723
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-5079664.596799934,-2753788.0060142917,-5880346.728870525,-3187853.840462295,-1869755.5055624535,-1013631.941101143,-2236503.328129773,-1212453.2876235065,-3209909.0912374808,-2843161.2686701613,-4010591.2233080715,-3643843.400740752,-1740156.0649131485,-1541334.7183907852,-2174221.8993611517,-1975400.5528387884
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,-3216732.043007225,-1685535.3990353171,-3723769.431286239,-1951217.9163082591,-1218018.7896777794,-638229.656447464,-1471499.4016181228,-771050.9603926814,-1998713.2533294454,-1745232.641389102,-2505750.64160846,-2252270.029668116,-1047305.7425878531,-914484.4386426357,-1312988.259860795,-1180166.9559155777
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,-4905522.502465388,-2484481.6346339006,-5678755.4869164955,-2876098.0522930697,-1841382.4664650008,-932598.0908190621,-2246836.545315415,-1137946.9016919092,-3064140.036000387,-2658685.9571499727,-3837373.0204514945,-3431918.9416010804,-1551883.5438148384,-1346534.7329419914,-1943499.9614740075,-1738151.1506011605
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,-5084053.2536626775,-2488789.325795757,-6179698.505159821,-3025138.98043803,-1889307.5913951492,-924870.0460054463,-2328367.4484726293,-1139802.3905658845,-3194745.6622675285,-2755685.805190048,-4290390.913764672,-3851331.056687192,-1563919.2797903107,-1348986.9352298726,-2100268.9344325834,-1885336.5898721453
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,-2386071.8412211887,-1128987.3762875996,-2900285.235953363,-1372291.2120486794,-867768.7715247384,-410591.1530671342,-1080125.5525134155,-511069.32009608,-1518303.0696964501,-1305946.2887077732,-2032516.4644286246,-1820159.6834399477,-718396.2232204654,-617918.0561915196,-961700.0589815452,-861221.8919525994
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,-4785291.706471796,-2188474.6148178712,-5816551.977289635,-2660104.572277466,-1694966.2048743656,-775164.9721426652,-2130848.8301184415,-974508.7360968499,-3090325.5015974306,-2654442.8763533547,-4121585.772415269,-3685703.1471711933,-1413309.642675206,-1213965.8787210213,-1884939.6001348007,-1685595.836180616
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,-5772799.058728845,-2551802.5257553826,-7016873.33587903,-3101731.9188214545,-2166501.5789869875,-957678.2675212979,-2750882.120938881,-1215997.2784178082,-3606297.4797418574,-3021916.937789964,-4850371.756892042,-4265991.214940149,-1594124.2582340846,-1335805.2473375744,-2144053.6513001565,-1885734.6404036463
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,-5346020.041280125,-2284119.0225022053,-6498120.772801251,-2776360.947595322,-1976065.013431863,-844285.5904071776,-2534168.997459181,-1082738.8540701799,-3369955.0278482623,-2811851.043820944,-4522055.759369388,-3963951.77534207,-1439833.4320950278,-1201380.1684320255,-1932075.3571881445,-1693622.0935251422
2046,928263.76,383342.5873346827,1202339.4970953888,496526.9070411922,-4846669.0568294525,-2001515.8797106855,-6185714.356770697,-2554497.8143257163,-1783185.8122514656,-736397.4469572899,-2309682.6840789947,-953823.4434973054,-3063483.244577987,-2536986.372750458,-4402528.544519232,-3876031.6726917024,-1265118.4327533955,-1047692.4362133801,-1818100.3673684264,-1600674.370828411
2047,928263.76,370522.5085392255,1214362.8920663428,484720.8352132265,-5589682.952189695,-2231158.2533226004,-7134009.292100279,-2847586.1417353395,-2133179.9494830472,-851472.631063435,-2790644.9485350675,-1113904.055430895,-3456503.002706648,-2799038.0036546276,-5000829.342617231,-4343364.343565211,-1379685.6222591654,-1117254.1978917054,-1996113.5106719045,-1733682.0863044446
2048,928263.76,358131.17005531176,1226506.5209870061,473195.4799587849,-4194561.909495868,-1618293.6674347792,-5353442.027854371,-2065398.370457516,-1602339.6103963507,-618194.7246300097,-2117156.853119961,-816815.1054377835,-2592222.299099517,-2077405.0563759068,-3751102.41745802,-3236285.17473441,-1000098.9428047695,-801478.5619969957,-1447203.6458275062,-1248583.2650197325
2049,928263.76,346154.23357366305,1238771.5861968761,461944.16659421293,-10384190.600446332,-3872317.000267613,-13253151.004835462,-4942166.791596864,-3767747.6041850634,-1405012.0670720632,-5028073.783711874,-1874994.0501314106,-6616442.996261269,-5356116.816734458,-9485403.400650399,-8225077.221123588,-2467304.93319555,-1997322.9501362026,-3537154.724524801,-3067172.741465454
2050,928263.76,334577.84029930696,1251159.302058845,450960.3791418472,-3871151.92066648,-1395294.855728403,-4940679.821983092,-1780789.098617259,-1553588.0438304162,-559965.9868436593,-2094001.9597509978,-754749.5479905466,-2317563.876836064,-1777149.9609154821,-3387091.7781526763,-2846677.8622320946,-835328.8688847437,-640545.3077378564,-1220823.1117735996,-1026039.5506267124
2051,928263.76,323388.5949152397,1263670.8950794335,440237.7565564138,-7503640.100178578,-2614118.6732813944,-10055595.387068253,-3503169.0381408064,-2751025.085320389,-958402.3154349342,-3745045.839075729,-1304699.336524637,-4752615.014858189,-3758594.261102849,-7304570.301747864,-6310549.547992524,-1655716.3578464603,-1309419.3367567575,-2544766.7227058723,-2198469.7016161694
