,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2024-08-31,-19320.027098442093,-12771.272371847781,-48606.47067500935,-18016.326633660326,-20317.547386477196,-39876.81810509005,-13240.0196911237,-15413.949901463964,-3471.808869590026,-12007.670505408023,-46754.185845476946,-13123.071404062988,-1891.5636616810284,-11116.99888256314,-5789.313062832784
2024-09-30,-20587.651959577517,-25057.70911704097,-53158.356269394804,-17056.677703865993,-21118.400251068408,-48418.895606564765,-13518.908821627236,-22506.94489934783,-3699.6010571360894,-12480.974548381375,-54620.084199482604,-17793.085651299276,-1966.1230633744708,-14456.175924578361,-6105.880137071159
2024-10-31,-28584.374258764674,-30819.943297940288,-37371.3846932613,-14482.403171016766,-27035.205642758847,-39763.32870544618,-11356.624055436369,-22936.574834321447,-5136.612054300015,-15977.806534870457,-45069.80038403992,-18178.91408313157,-2516.9776453408435,-14408.243549159934,-8205.731884087334
2024-11-30,-28707.658137925995,-36276.92632520949,-11924.228263061324,-2408.8260875144274,-24136.00219003288,-24150.51482983123,-3509.107117818811,-21070.263252387325,-5158.766167385289,-14264.377294309375,-24525.474481497917,-15713.417376970228,-2247.0618038920557,-12021.004205052524,-7882.54374524318
2024-12-31,-30690.748555860853,-35786.20630423322,-1104.3993873965617,1380.038463986665,-24820.40518264963,-16293.57860008087,-773.8744047571905,-18891.103938255335,-5515.127515488203,-14668.859462945939,-15207.124558510506,-13982.561362936969,-2310.7797225046747,-10606.348080754047,-8310.195583016906
2025-01-31,-31102.142662970236,-44890.970500967145,-6514.069410225271,-7956.866269372204,-27477.928037308327,-24062.4257504935,-6449.434104416998,-25150.21865658399,-5589.055036535749,-16239.455470049204,-26918.12053025335,-18972.245699251485,-2558.1951002733986,-13772.897306034802,-8698.010422637744
2025-02-28,-36544.81903744926,-37375.96240551672,-1317.3638822163534,-2229.587725623019,-30517.149678621987,-17133.19728557732,-2768.5387858836393,-20007.669065491176,-6567.103981029634,-18035.635460065645,-17633.75530447009,-15360.47793741228,-2841.1466350797127,-11652.422101262024,-10009.744035154663
2025-03-31,-33816.79193780957,-29771.679819849982,3813.5056350053715,6772.898745063384,-26043.322371661765,-10211.781470773582,2651.120029002528,-14603.277990517874,-6076.877511224369,-15391.603521652098,-6894.939181612642,-10833.80532818341,-2424.6333128017086,-8676.719566034853,-9001.452907647332
2025-04-30,-31634.592010918903,2605.961299860814,5284.26979494765,3496.864258048963,-25068.231221627364,4863.0208336203,2305.1611922458114,2421.5844395193144,-5684.736184362119,-14815.324651981804,6282.110794838937,173.33755498578154,-2333.8523267335177,-1259.8914283824465,-8504.470842596209
2025-05-31,-16109.468756947284,6697.362853162208,-16024.754197649683,-3512.2782534411735,-14080.954579801348,-8418.182043793726,-2638.415752838025,820.3801028420049,-2894.871535623456,-8321.844156662573,-9738.392278185618,-784.3926736790778,-1310.9368713795063,-1925.788921281251,-4487.172170703683
2025-06-30,-14825.4823467887,17028.079098478902,-37914.04312512574,-15522.926928500836,-16012.860317864594,-19404.599178710672,-10025.813323010969,2067.133290285396,-2664.139177717961,-9463.600447858125,-25762.76500425094,-1112.64567663318,-1490.797295593194,-2703.7317594521796,-4492.6731307826585
2025-07-31,-11608.86584022067,6985.677164124911,-56003.52847145286,-29652.618242622524,-16886.784735688798,-36538.201814433254,-19108.60924501987,-6960.607440739356,-2086.113191487646,-9980.08977879205,-48704.01557145373,-8230.116139431088,-1572.159658892621,-7517.495923124039,-4034.914893241926
2025-08-31,-17544.925146416463,-17062.48995883456,-79712.271913954,-39015.155066411935,-24080.350161550257,-63713.30950436343,-26586.452377527654,-23887.632112209667,-3152.823048811023,-14231.486945476176,-79267.38393451014,-20657.25648358211,-2241.8806000403247,-16651.385419697963,-5926.751790737984
2025-09-30,-30914.081068304222,-33627.042483532656,-92287.71796379358,-35918.40173682662,-34272.17789950402,-79778.59565803148,-26423.40923366486,-34314.85784460373,-5555.260367974256,-20254.857138606905,-93483.07282178078,-28056.90442436857,-3190.739762443825,-22802.020478893704,-9473.008451811596
2025-10-31,-38255.716104350686,-36268.45010997306,-79172.64178787795,-29601.743590832644,-38721.8949162791,-71657.84454580912,-22322.072586713177,-33256.591366953326,-6874.552183951829,-22884.639895520977,-82780.82032635831,-27119.893775805285,-3605.008416705588,-22136.367534209712,-11284.035662691624
2025-11-30,-47285.44877029919,-39102.627163600824,-46784.70391905908,-20877.824418499495,-43957.47881476539,-50004.38219423606,-15697.233652664292,-29175.919951747797,-8497.195144022746,-25978.86997952636,-57867.439937394935,-23943.39643168187,-4092.4412776546683,-19248.496401298784,-13483.26875252251
2025-12-31,-52406.877503473625,-22017.51093619678,5266.794603680649,-8017.484535623265,-44960.74377220047,-5823.60060334097,-4798.646576171761,-11319.155466184488,-9417.515887374235,-26571.799569370538,-9236.067226297224,-11008.913915736874,-4185.8452451918665,-9054.170513990957,-14496.832622276117
