,Papallacta_tri,Mica_tri,Orientales_tri,Occidentales_tri,Bellavista_tri,Puengasi_tri,El Placer_tri,El Troje_tri,Paluguillo_tri,Norte_tri,Centro_tri,Sur_tri,Parroquias Norte_tri,Parroquias Sur_tri,Parroquiales Orientales_tri
2022-05-31,36.42486105058288,-1444.716731600155,-2506.6471623164816,58814.46019079653,14645.258100988362,-2397.230923325292,31015.49460084433,2896.1510182167726,6.545547530784267,8655.347537684118,23926.837105111023,7069.28996008871,1363.473529202009,2277.2436917047826,1747.6814967431922
2022-06-30,75.42666573886466,4874.857658945291,2337.082087607552,61032.304377105254,15228.36996094987,3764.399290047483,32761.64898249877,7114.86156822834,13.554171833266523,8999.966646921377,30899.28029551868,10068.417578509861,1417.7612433644397,4374.0503821685525,1823.8237771273157
2022-07-31,105.90712233630993,9620.241058452826,6547.567614404642,61821.10820995047,15449.378639776203,8796.231018416061,33644.55413168494,10310.484511369203,19.031509883832282,9130.582776107718,36136.80053953422,12265.601053534983,1438.3371513631703,5973.567101587338,1855.424038423523
2022-08-31,140.13497903727114,14181.822220822736,10325.404850421752,64122.72917953642,16049.39487042749,13442.718459549582,35295.423853584216,13446.98326288249,25.182255733010532,9485.192368422659,41675.52842069919,14554.496384112404,1494.198662436801,7555.485758955032,1932.7426479895912
2022-09-30,155.2634331795047,16472.50735869105,12609.808199281855,64391.14580364172,16128.500221068829,16049.66143278531,35678.32261435094,15020.521644499713,27.900838942354735,9531.943630651675,44326.397681412316,15627.350380876645,1501.5633705815042,8352.011571180063,1944.7899214853753
2022-10-31,173.84796281202506,6572.044739828091,7224.760501876173,81291.3008939888,20343.426216865766,7953.274689291043,43906.958331486516,10149.294232656668,31.240478917320676,12022.964894167722,44009.25408502704,13885.45668763136,1893.9729807902054,6337.797763131911,2449.1897505493166
2022-11-30,163.01066657617702,1080.307956567975,2078.581492716385,84185.51833526368,21053.75375183883,1936.8313237762468,44889.3569339435,6670.63329232801,29.293016783739876,12442.768467336791,39459.869607641456,11821.773406861046,1960.1044742961908,4643.615731984237,2531.755345502383
2022-12-31,140.44710076159325,-9579.227220358813,-3697.768252350168,94251.22639178814,23536.582336273765,-6765.068270310819,49432.34438873951,870.6941539154061,25.238344006837558,13910.120160737777,35503.97346604012,8863.10584668312,2191.2558155070815,2073.933339218543,2823.023738654427
2023-01-31,189.39968355749738,3246.9937693867973,1737.4612752980297,92194.40868033934,23065.59935761295,2635.0881900272498,49207.589883174995,8307.725506041175,34.03512313526297,13631.769220349357,43713.16708577893,13600.509426139422,2147.4073001937813,5482.648639465867,2775.5716927707535
2023-02-28,223.8000242360493,5025.250744139775,3561.7333839769954,97722.15131013843,24467.448240440586,4694.8108333643295,52333.259785613,9902.514710715634,40.216864355211925,14460.261910100362,48180.44884833528,15148.812756750845,2277.9194311850183,6370.661871208762,2948.2583228823555
2023-03-31,173.54511519657987,-4648.154629835055,2180.708185306157,96220.05032252573,24052.972145097043,-474.30469911458266,51057.82375768191,4501.0564592346955,31.186057200803006,14215.306537752405,42490.3570501426,11461.619548983883,2239.331706708534,3971.1344579863876,2890.2018798340528
2023-04-30,58.9164828901593,-7580.323858691507,3016.6186509346667,107623.5992398814,26792.77003543206,-1154.8293158573697,57051.00278187821,3871.0579457983386,10.587291975352608,15834.527090940384,46919.64332738186,12053.725860846807,2494.4068902987538,3967.925925959593,3195.9480288253535
2023-05-31,45.44313217969434,-8402.605753852486,4346.637361764452,103562.01352559098,25772.419185183695,-571.6302982083183,54947.372321226576,3363.8290588632885,8.166130852734476,15231.49973844342,45672.571927571706,11371.826224022718,2399.4122261405864,3741.426145981738,3072.2756704680237
2023-06-30,101.20022852685744,1165.862276050745,3173.2588285391807,108313.57264460222,26998.89686955289,2747.308659030913,57778.35133267291,8541.248055612372,18.18568106630323,15956.348049905704,51017.14985108983,15180.491033245355,2513.597298555359,5974.6933447679385,3227.839864081983
2023-07-31,167.5415689582792,8571.08430842451,7624.041136947583,108816.09098152374,27178.165941297833,9101.950110955393,58631.48907495662,13152.631894321707,30.107219941839702,16062.296071306799,57411.44879662854,18284.536010573487,2530.2872491348235,8184.873382300326,3260.7391160377942
2023-08-31,253.79077901407987,24634.937318658176,13608.911293003728,109359.20286169088,27383.844970843886,20293.94115614535,59953.11286036747,22554.995162224724,45.606202988852665,16183.852377768737,68521.1983880391,24545.99905508596,2549.4359667855547,12511.973897313961,3300.25471447751
2023-09-30,337.02461426859526,27241.234101082428,14864.53063925365,117240.7370280008,29410.64963269682,22310.86587945166,64325.12341457611,24659.58497729825,60.563323184096596,17381.693932923794,73997.79380665362,26634.76598942501,2738.1314808040825,13637.063711969757,3555.775622465647
2023-10-31,354.4845731254932,26213.60246502359,12524.422408540711,116581.3904094704,29261.11741825901,20212.10110022165,63781.62936187232,23714.752536951037,63.70087779064469,17293.32039419102,71665.95060159168,25941.120101517932,2724.210031639906,13099.113777698201,3541.045003980208
2023-11-30,350.9512512217986,25582.398142274,9328.398157968173,124424.4026129472,31207.208980194046,17680.482893280492,67714.00027350939,23431.09051996533,63.06593984457736,18443.460507294847,72709.36064674128,26423.413748428633,2905.3911560560705,12964.58999447082,3771.8183214920277
2023-12-31,354.59074567918617,20672.75238203153,6940.87716120582,114205.58855796969,28670.81770903776,13865.367872002687,61934.72246913558,19781.0817806499,63.71995699851541,16944.45326604137,64443.45389215547,23111.80707048989,2669.2531287114043,11083.665693819252,3470.8769078200744
2024-01-31,438.99696649635126,27169.84227709736,11616.68986682944,114203.3851907616,28739.474832734915,19985.31801803669,62498.013391469,23914.837526461437,78.88775487939922,16985.029626146177,70384.46337284382,25860.777096604113,2675.6451069276,13094.685382047552,3493.7787890285117
2024-02-29,509.28677672111274,28959.608903320033,13543.717836073682,113074.19644492997,28516.502044798664,22122.627110775455,62095.32770827024,25074.12034496971,91.51883377678266,16853.252708476142,71955.4779995677,26539.23419672674,2654.88634037076,13672.90453324568,3479.540943907459
2024-03-31,421.543733689829,17599.4767480183,12445.231989680567,111825.64923115219,28134.297541193453,16421.929570975364,60905.281403589746,18846.570086704134,75.75140894406017,16627.369846845282,65862.24089842642,22332.65129533265,2619.3031010851178,10940.064172224662,3418.775621718793
2024-04-30,323.11035654852327,4363.590919977317,7895.596616388685,112178.30029949678,28141.225805758975,7469.855673288746,60266.089065019085,11212.999416915132,58.06293107173746,16631.46445120358,57327.216917664686,17319.740733104692,2619.9481225161394,7457.115248324607,3402.4114984271187
2024-05-31,250.4329121043595,-5072.677384259629,1831.1785096766484,129053.17473714841,32275.04386681554,-905.2780289899964,68455.75334291974,6479.825237033675,45.00279430508309,19074.55092528809,56728.285293624525,15656.154839838244,3004.8065840005365,5456.930958250849,3881.231930990667
2024-06-30,266.44998884439843,-3351.640672072815,-29.372520305582306,116869.75554902857,29260.59659978704,-1473.6879169395027,61933.21716731908,6262.150858975392,47.88106299531207,17293.01259047435,50738.276244137865,14426.530921396756,2724.161543440156,5021.788469256631,3525.6109646272366
2024-07-31,290.1929344880705,-230.06766174040484,4995.294368364973,115408.3126854418,28916.89488931917,3429.4411398855186,61608.82328794604,8574.359190490775,52.14767032754304,17089.884879587502,54846.07868789226,15851.505022373023,2692.1629141956055,6244.49725934892,3488.8906935973732
2024-08-31,364.42641755306397,16149.149434608464,11260.43629213352,115416.45370408766,28979.78196521776,14956.15452029511,62677.18781355744,18148.810113030435,65.48742723432674,17127.05114144374,66042.00480572668,22179.995909906607,2698.0177009617787,10647.876401069068,3509.330208707937
2024-09-30,413.60719087479737,21702.19340903111,13759.005320531325,132576.25335341357,33284.31549412121,19128.638101770313,72175.84145753463,22631.009216549708,74.32521220022548,19671.0304570258,77753.3200251794,26653.10247205373,3098.769772502709,13031.420685264407,4029.726920945948
