,Papallacta_SEMBAU-superficial,Mica_SEMBAU-superficial,Orientales_SEMBAU-superficial,Occidentales_SEMBAU-superficial,Bellavista_SEMBAU-superficial,Puengasi_SEMBAU-superficial,El Placer_SEMBAU-superficial,El Troje_SEMBAU-superficial,Paluguillo_SEMBAU-superficial,Norte_SEMBAU-superficial,Centro_SEMBAU-superficial,Sur_SEMBAU-superficial,Parroquias Norte_SEMBAU-superficial,Parroquias Sur_SEMBAU-superficial,Parroquiales Orientales_SEMBAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2035-05-31,10371877.112788605,3000667.552536939,6466392.292964863,1986343.7155530774,8997508.458090317,5869295.539004438,1595589.4152296865,2706804.0293525252,1863826.3171681124,5317527.498731377,6584721.538047116,2574264.069553598,837668.0374482083,2400237.071052283,2880883.7880591936,10668025.811185878,2888614.2231073673,6303655.673943792,1946513.2980142883,9230422.917147852,5705746.999358332,1559364.2617283403,2620169.9680338074,1917044.238270102,5455179.94403438,6408160.031209404,2529253.207333721,859352.373586465,2378687.224582126,2960289.1711759386
2035-06-30,14877955.827871483,3398773.1994284713,7233987.776630287,1677823.829854494,12615375.20499067,6584180.546141541,1497592.246813772,3012758.569083243,2673568.662268506,7455686.746149486,7141033.1833698265,3004091.8655731385,1174491.4315846316,2941063.4603724973,4097874.7809996973,15632504.110391406,3637433.9412070187,7490056.296708189,1683530.0517006784,13235447.337957531,6868552.387137578,1526837.5707866643,3177944.9223831943,2809160.988637335,7822149.376732902,7419671.680914904,3156771.7017521015,1232220.147163846,3087947.61256494,4303356.42114205
2035-07-31,16332871.688747292,3714773.4149864153,6583282.812237902,1588090.8998156965,13785962.086208103,6261443.582242688,1420310.8736285353,3072863.618095714,2935017.042467888,8147503.592948987,6787744.985660402,3111887.159236533,1283473.0702259743,3051324.866472518,4491106.95221619,16683380.310957707,3908986.532584595,7168820.737842264,1609519.8993715376,14078669.211948052,6759317.513160981,1477539.726472613,3266333.1191785927,2998003.4418790997,8320493.504261296,7280646.406358253,3264387.4215188227,1310724.1036323635,3194453.389466536,4587113.713774545
2035-08-31,14358208.357606951,3517587.0395806353,5455708.964559913,1359573.194912025,12110148.971337575,5379332.365119783,1217745.6468013544,2780401.269961901,2580170.041861969,7157098.042060508,5829410.751134553,2781876.404493496,1127454.8692315284,2697443.1177659747,3947047.942369314,14227315.530580692,3413045.325448837,6214421.900090823,1413857.4749399133,12016319.586045679,5870044.220996237,1291700.2459969898,2845625.0023133117,2556648.6008453504,7101644.875352996,6329971.563798509,2827629.0297427047,1118719.3534608525,2755930.920684534,3913035.8442222583
2035-09-30,11218492.365031613,3138116.6870218907,4506998.9561940245,1193702.3884867916,9494676.933628386,4544568.346375068,1052768.7498275244,2423853.4479009355,2015963.0779961806,5611354.067774376,4944969.49488152,2351799.0215452434,883954.4225208026,2229977.226917952,3087828.4102973035,10906257.16453971,2857786.1581541393,5230394.425679797,1252670.7352114504,9253328.926906154,4934123.961302596,1119866.2900819692,2391547.985808322,1959854.4124677856,5468717.395801536,5349393.963841634,2323659.973112734,861484.9230949628,2230160.637844702,3004611.3420040896
2035-10-31,10397503.959928377,2941679.2044544206,5492660.234980271,1437729.5491095912,8882189.289699009,5155782.391144553,1238562.4149044438,2488630.2917954354,1868431.4615991293,5249373.870212114,5647187.697975728,2377211.706556379,826931.8228709776,2246644.504177927,2871647.1577810864,10343415.275010305,2706820.0871342993,6052474.039778384,1463476.4056877603,8844240.070794357,5449479.4168761475,1279206.6171404498,2452841.5959919454,1858711.7249193513,5226945.881839465,5943738.072743697,2357048.284144384,823398.7505909547,2257464.4127314184,2857690.3275215826
2035-11-30,10491132.165889453,3029666.590202807,6738690.686405983,1660419.3351723882,9014293.467603099,6074245.436798743,1441353.2337935767,2741458.5218182974,1885256.4502103343,5327447.4393534325,6638188.266239499,2576855.3549341885,839230.7218338485,2432942.9189549666,2903703.1859673904,10721464.936741948,2823010.6301673106,6801512.640580387,1652488.1207679606,9201172.399645561,6029043.788747572,1432937.4888472978,2641897.1135678203,1926647.249132528,5437892.888190527,6590731.680243233,2524146.3265202986,856629.1504070018,2413143.1918857954,2966142.5302999355
2035-12-31,9551101.920828642,2832403.8386817863,5436718.732604181,1483085.7840307418,8199495.282219042,5068888.84865341,1254632.9714491386,2425702.257196537,1716333.0151729072,4845901.711791454,5583064.309889955,2292422.1973858215,763373.0107745929,2147218.334849869,2642680.779899358,9726992.1281554,2463237.9618691406,5147213.646249896,1486654.038419888,8344594.374421955,4704320.097545824,1222906.689081998,2187400.9474895997,1747940.4854295254,4931655.275283375,5230692.647320859,2144172.676572557,776881.736258684,2045374.4140557696,2690646.0408106404
2036-01-31,8158686.275981906,2632951.619539018,6100926.736105357,1892541.8308426407,7159603.522641962,5451689.266128599,1507270.5641508894,2450915.8393246774,1466115.9237939485,4231325.681881398,6137400.099528112,2272344.0503863967,666559.0879579666,2085502.4388802217,2275901.7019927087,8289314.1595870545,2240989.0986973825,5942157.6911480175,1869341.388839745,7260940.014572102,5169603.183081389,1468911.124395175,2218857.0270995945,1489589.7544777936,4291215.548612113,5853143.283819057,2124252.5007475098,675993.5153566627,1988997.2730308194,2310760.1321586953
2036-02-29,9612731.733370598,2841704.64785426,6160009.454207639,1647701.8553240912,8290932.659238592,5583925.6442425195,1389447.4262650772,2552926.872523408,1727407.8924866966,4899941.201610007,6156509.732342064,2399022.402090452,771885.8305751126,2248390.2258766433,2664314.1423127917,9979128.837655421,2598049.2410069928,6029055.899234079,1642436.7403485593,8590033.263970299,5385782.338785407,1368368.5608137154,2404349.7755158544,1793249.4521266795,5076709.659006446,5961771.7168348115,2320581.3805878554,799732.0968756347,2208825.3962554648,2763855.4477175632
