,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_tri,Incomes_tri_DIS_0.0346,Incomes_tri_GRW_stepexp,Incomes_tri_GRW_stepexp_DIS_0.0346,Costs_tri,Costs_tri_DIS_0.0346,Costs_tri_INF_0.01,Costs_tri_INF_0.01_DIS_0.0346,Utility_I_tri_C_tri,Utility_I_tri_C_tri_INF_0.01,Utility_I_tri_GRW_stepexp_C_tri,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01,Utility_I_tri_C_tri_DIS_0.0346,Utility_I_tri_C_tri_INF_0.01_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,6236180.26956943,4591624.813843794,6859798.296526373,5050787.295228174,2593942.045272671,1909888.4486815934,2836956.21311147,2088816.8687930396,3642238.2242967584,3399224.0564579596,4265856.251253702,4022842.0834149034,2681736.3651622008,2502807.9450507546,3140898.8465465805,2961970.4264351344
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,4378010.257202219,3115674.1710380977,4815811.282922441,3427241.5881419075,1840751.5153578345,1309997.376608416,2033334.8512484666,1447052.0864322905,2537258.741844385,2344675.405953753,2975059.767564607,2782476.4316739747,1805676.7944296817,1668622.0846058072,2117244.2115334915,1980189.501709617
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,6762800.970124729,4651889.515448377,8182989.173850924,5628786.313692537,2830043.4041792094,1946685.8921803061,3157389.8457317026,2171855.8308054986,3932757.5659455196,3605411.1243930263,5352945.769671714,5025599.328119221,2705203.6232680706,2480033.684642878,3682100.421512231,3456930.4828870385
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,5849981.99898592,3889419.979924908,7078478.218772965,4706198.17570914,2437898.7039538343,1620861.7274095484,2747085.2805414693,1826427.5648280208,3412083.295032086,3102896.7184444508,4640579.51481913,4331392.938231495,2268558.25251536,2062992.4150968872,3085336.4482995914,2879770.610881119
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,4380056.428821351,2814735.1895624916,5299868.278873836,3405829.5793706155,1826191.0784874589,1173556.6367730426,2078375.795213799,1335616.9225192906,2553865.3503338927,2301680.6336075524,3473677.200386377,3221492.4836600367,1641178.552789449,1479118.267043201,2232272.9425975727,2070212.656851325
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,4424658.615914162,2748306.2870424166,5353836.925256137,3325450.6073213243,1854333.8062770003,1151789.9346486535,2131508.8930501807,1323952.8289452735,2570324.809637162,2293149.7228639815,3499503.1189791365,3222328.032205956,1596516.3523937631,1424353.458097143,2173660.672672671,2001497.7783760508
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,4080301.6180792637,2449656.3094873833,4937164.95787591,2964084.1344797346,1691664.221174371,1015610.1976805768,1963969.6436936117,1179091.910264337,2388637.3969048928,2116331.9743856518,3245500.7367015393,2973195.3141822983,1434046.1118068066,1270564.3992230464,1948473.9367991579,1784992.2242153976
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,4046272.465477041,2347986.1915767663,5385588.651549943,3125169.6209886763,1683158.458659764,976709.5154584032,1973635.6646471275,1145268.7201202968,2363114.006817277,2072636.8008299135,3702430.192890179,3411952.9869028153,1371276.6761183632,1202717.4714564695,2148460.105530273,1979900.9008683795
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,5576091.450611975,3127503.673990433,7421777.720764541,4162707.390081268,2340353.437198677,1312651.3505211058,2771690.946653275,1554578.8112698144,3235738.013413298,2804400.5039587,5081424.283565864,4650086.774111266,1814852.3234693273,1572924.8627206187,2850056.039560162,2608128.5788114537
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,5025072.47765352,2724192.5238592285,6688371.467756838,3625900.249256634,2086010.7416017277,1130868.2396587105,2495176.4828221747,1352685.1902019891,2939061.7360517923,2529895.9948313455,4602360.72615511,4193194.984934663,1593324.284200518,1371507.3336572393,2495032.0095979236,2273215.059054645
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,4376545.459997435,2293266.022685749,5825182.007256588,3052337.076194733,1833171.6755920423,960563.6125136004,2214671.1089823125,1160465.497748053,2543373.7844053926,2161874.3510151226,3992010.3316645455,3610510.8982742755,1332702.4101721486,1132800.524937696,2091773.4636811325,1891871.57844668
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,5276645.964062099,2672443.1461865213,7023215.778166656,3557021.827574261,2213197.3809185172,1120909.7999139598,2700521.4006357016,1367722.9735350823,3063448.583143582,2576124.5634263977,4810018.39724814,4322694.377530955,1551533.3462725615,1304720.172651439,2436112.027660301,2189298.8540391787
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,3430340.075944098,1679249.476529092,5022360.905189755,2458589.1585862446,1425273.7788848085,697712.2367216746,1756495.917886187,859854.9372175817,2005066.2970592896,1673844.158057911,3597087.126304947,3265864.987303568,981537.2398074175,819394.5393115104,1760876.9218645701,1598734.221368663
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,3242887.5347994673,1534396.000262601,4747911.639699901,2246509.1839844747,1354176.8127127984,640738.6820472528,1685565.3556905729,797537.5995001183,1888710.722086669,1557322.1791088944,3393734.826987103,3062346.2840093286,893657.3182153483,736858.4007624828,1605770.501937222,1448971.5844843565
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,3802647.4160099146,1739078.3779775663,5567456.081780118,2546184.6531969556,1571591.658512528,718741.6484689189,1975746.9130268255,903575.4202019125,2231055.7574973865,1826900.502983089,3995864.42326759,3591709.1687532924,1020336.7295086475,835502.9577756538,1827443.0047280367,1642609.232995043
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,3199860.218296849,1414463.1233556347,4684915.345608418,2070915.458904985,1322359.7148095067,584534.6123914975,1679045.947716412,742203.850619657,1877500.5034873425,1520814.2705804373,3362555.630798911,3005869.3978920057,829928.5109641373,672259.2727359778,1486380.8465134876,1328711.6082853281
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,3347130.470076977,1430081.5033362443,4900533.721239703,2093782.3290345955,1394660.0183853505,595876.830486864,1788556.629748697,764171.512505815,1952470.4516916263,1558573.8403282799,3505873.702854352,3111977.091491006,834204.6728493803,665909.9908304292,1497905.4985477314,1329610.8165287804
2046,928263.76,383342.5873346827,1202339.4970953888,496526.9070411922,3928252.535492266,1622239.880031116,6326489.990935652,2612633.5491889133,1628696.0810048422,672598.238322106,2109578.8840841884,871187.1156226603,2299556.454487424,1818673.6514080777,4697793.909930809,4216911.106851463,949641.6417090101,751052.7644084558,1940035.3108668074,1741446.4335662532
2047,928263.76,370522.5085392255,1214362.8920663428,484720.8352132265,4395605.995272097,1754534.6808737598,7079167.411445668,2825695.648894,1844353.5281157556,736185.689152209,2412799.6598675917,963084.6544916609,2551252.4671563413,1982806.3354045055,5234813.883329912,4666367.751578076,1018348.9917215508,791450.0263820989,2089509.9597417908,1862610.994402339
2048,928263.76,358131.17005531176,1226506.5209870061,473195.4799587849,4996123.875276399,1927542.3282645606,8046307.462371396,3104326.1950933584,2103562.8778092484,811570.4470836446,2779418.6287518493,1072320.7007331946,2892560.9974671504,2216705.2465245496,5942744.584562147,5266888.833619546,1115971.881180916,855221.627531366,2292755.748009714,2032005.4943601638
2049,928263.76,346154.23357366305,1238771.5861968761,461944.16659421293,4079712.341765715,1521345.2896889187,6570417.523537104,2450141.8024969017,1699697.0537681405,633825.5960294344,2268252.307243489,845842.7149688175,2380015.2879975745,1811460.0345222256,4870720.469768964,4302165.216293614,887519.6936594844,675502.5747201012,1816316.2064674674,1604299.0875280842
2050,928263.76,334577.84029930696,1251159.302058845,450960.3791418472,2641451.1497418997,952068.8612649988,4254083.491170828,1533316.4217558936,1110682.600263831,400327.796545985,1497032.3380447363,539581.3863521182,1530768.5494780687,1144418.8116971634,3143400.890906997,2757051.1531260917,551741.0647190139,412487.47491288057,1132988.6252099087,993735.0354037754
2051,928263.76,323388.5949152397,1263670.8950794335,440237.7565564138,4028046.2118655834,1403291.0265815668,7135929.575138808,2486015.654341868,1685830.0883617857,587309.6064217269,2294966.6985943504,799520.6621399218,2342216.1235037977,1733079.513271233,5450099.4867770225,4840962.876544458,815981.4201598399,603770.364441645,1898706.0479201414,1686494.9922019462
2052,928263.76,312573.5500823891,1276307.6040302278,429770.08904115396,3436400.809207214,1157136.6315538306,6087793.653959944,2049938.1281321365,1432262.0518022534,482284.51165659743,1969275.3573393319,663112.593702161,2004138.7574049607,1467125.4518678822,4655531.602157691,4118518.296620612,674852.1198972331,494024.0378516696,1567653.616475539,1386825.5344299756
