,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-213964.28607662645,-157539.34023040067,-235360.71468428912,-173293.2742534408,-51298.03491185511,-37770.12847945813,-56103.90530074412,-41308.6332653795,-162666.25116477133,-157860.38077588234,-184062.679772434,-179256.809383545,-119769.21175094254,-116230.70696502118,-135523.14577398266,-131984.6409880613
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-162585.51110432035,-115706.32496792724,-178844.0622147524,-127276.95746471998,-67846.42154228088,-48283.88486502429,-74944.65836557884,-53335.44752271302,-94739.08956203947,-87640.85273874151,-110997.64067247152,-103899.40384917356,-67422.44010290295,-62370.877445214224,-78993.07259969569,-73941.50994200696
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-254528.943221731,-175081.37938436,-307980.02129829454,-211848.46905507563,-75889.80337257992,-52201.88827053893,-84667.8514574422,-58239.99437959975,-178639.13984915108,-169861.09176428878,-232090.21792571462,-223312.16984085232,-122879.49111382107,-116841.38500476026,-159646.5807845367,-153608.47467547588
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-170291.9680528675,-113220.34547804958,-206053.28134396972,-136996.61802844002,-44115.85163596014,-29330.8722683335,-49710.8458489883,-33050.76102756186,-126176.11641690737,-120581.1222038792,-161937.4297080096,-156342.43549498142,-83889.47320971609,-80169.58445048772,-107665.74576010651,-103945.85700087817
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-216727.11709047752,-139274.3342284184,-262239.81167947786,-168521.9444163863,-74982.61268117226,-48185.72590303919,-85337.20764177412,-54839.8508630492,-141744.50440930526,-131389.9094487034,-187257.1989983056,-176902.60403770374,-91088.6083253792,-84434.48336536919,-120336.21851334712,-113682.09355333711
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-256144.79558906791,-159100.26359518056,-309935.2026627722,-192511.3189501685,-90688.49459150189,-56329.71523538485,-104244.08597027103,-64749.55510209333,-165456.30099756602,-151900.7096187969,-219246.70807127032,-205691.11669250118,-102770.5483597957,-94350.70849308724,-136181.60371478365,-127761.76384807518
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-271562.37455991836,-163035.61513994855,-328590.47321750125,-197273.09431933775,-90272.08905036072,-54195.893640068476,-104803.09292386478,-62919.750024653855,-181290.28550955764,-166759.28163605358,-238318.38416714052,-223787.38029363647,-108839.72149988008,-100115.8651152947,-143077.20067926927,-134353.3442946839
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-220009.78365882667,-127668.10402665599,-292833.0220498984,-169926.24645947918,-72316.6213540426,-41964.160794781994,-84796.92587278348,-49206.278800105676,-147693.16230478405,-135212.8577860432,-220516.4006958558,-208036.09617711493,-85703.943231874,-78461.82522655031,-127962.0856646972,-120719.9676593735
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-288590.07533874264,-161863.65107050692,-384113.39027586655,-215440.51957484477,-102656.45583999506,-57577.6860265061,-121576.49556034623,-68189.50870939072,-185933.61949874758,-167013.5797783964,-281456.9344358715,-262536.8947155203,-104285.96504400083,-93674.1423611162,-157862.83354833868,-147251.01086545404
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-396659.2088707085,-215036.9086477495,-527953.4070069131,-286214.12541015464,-134212.25861407453,-72759.15584354935,-160537.65434743112,-87030.68059535422,-262446.9502566339,-236121.55452327736,-393741.14839283854,-367415.75265948195,-142277.75280420014,-128006.22805239526,-213454.9695666053,-199183.4448148004
