,Papallacta_tri,Mica_tri,Orientales_tri,Occidentales_tri,Bellavista_tri,Puengasi_tri,El Placer_tri,El Troje_tri,Paluguillo_tri,Norte_tri,Centro_tri,Sur_tri,Parroquias Norte_tri,Parroquias Sur_tri,Parroquiales Orientales_tri
2037-05-31,1984.1230988215887,32373.321407932708,22534.640738798156,1198774.633741482,299522.2790134824,29954.558512299995,639432.1298165811,102836.77708773552,356.5469208584128,177017.666896968,564204.1076857251,173415.41548056915,27885.52417615505,69046.36763664155,35959.65561770103
2037-06-30,1369.8644998715258,-25410.459789731423,11914.735079005872,1269726.4218607617,316650.1677358468,-2597.673985531088,674107.2009928172,75698.29725902046,246.1646506272489,187140.24913188265,564266.3404957906,161765.16389486237,29480.13061620726,58337.96944538535,37888.90313480624
2037-07-31,1096.170801163338,-26234.145045110574,-23393.408753742595,1240080.8816775,309058.84953673056,-27899.945161573993,656034.3954736176,67808.7548628255,196.98189296930212,182653.78007620832,526471.0983882268,153707.13029823455,28773.37889186999,52481.68264217348,36938.5045153156
2037-08-31,1356.0818444674628,4021.04433048858,-1485.7045367087444,1254986.5120097948,312975.9997387129,693.4724620816609,666588.0096111681,88103.78283765969,243.68790745114288,184968.81584557978,560886.7703758113,168502.5859289584,29138.065575674187,62585.15005640295,37449.63790860363
2037-09-30,1473.7170167797788,51427.260597496526,4648.860346070537,1172741.8752478787,292634.6565811557,25578.137303514333,625207.619016603,108321.42051481502,264.82694791508254,172947.0820394633,548338.511650414,174558.69112077312,27244.28652770538,69849.48226596159,35051.593012788
2037-10-31,1612.1037134950825,103002.74440115436,27081.938670327407,1215011.7583796815,303252.1857920422,63785.079368486346,651183.4809395067,141787.2283927062,289.6950373151029,179222.04180309712,604305.3056374602,200400.78063533021,28232.77849723915,86106.76932794032,36338.181558433054
2037-11-30,2165.1687594974983,135772.50662598258,24999.55914588851,1206386.6665475743,301562.30850298604,76519.57015893371,647781.4074636011,158105.38030465413,389.080826082328,178223.32432526362,612822.8569531491,210356.45204804096,28075.450921627966,92790.1236343092,36233.82831970888
2037-12-31,2439.4837112625128,123006.57009130533,49366.41138153998,1268274.7285256407,317166.40273348655,88200.71777563856,681722.0885204297,159385.07255078605,438.3752229142352,187445.34401549003,651785.936662176,216844.23977325234,29528.192094487546,95903.29136841146,38137.054489116745
2038-01-31,2289.6674364299074,83886.00498054134,56285.923741101804,1194064.5612441245,298602.3418002953,76130.58828215324,641190.1023196459,134779.3860704987,411.45323832674575,176473.98400397509,606935.3485709394,194207.09265268446,27799.87802160736,84335.41110507413,35903.62755173691
2038-02-28,2862.178473319072,138274.58843547342,93810.9109860441,1206639.2902330405,302196.5637531849,126219.44269841792,652488.6472531231,170000.87267473957,514.3334716553923,178598.16917813255,661181.158123016,218715.17047064146,28134.50008542154,101586.59038621729,36430.94926466164
2038-03-31,2721.7254587066595,137334.18665959523,105307.37355109515,1022617.0698373843,256351.8845581837,133934.02933078192,555464.0059565058,158628.78988353597,489.0940649299388,151503.96377388746,586524.1588105633,195106.23316003708,23866.360452367033,93674.94503765828,30955.49177685994
2038-04-30,2731.5954814434053,84699.16479778224,78363.44391810431,968326.6919146297,242868.81807602115,92080.8610679792,522768.36643892725,123087.65322663785,490.8677080152763,143535.47148292794,521651.85327005124,166818.9546289527,22611.086962877464,76066.82056568994,29354.078621117274
2038-05-31,2355.3374696851943,18987.576927459126,64893.01607428612,1045414.483081331,261716.64023710365,54078.03045453635,560199.0798441145,91764.72090354837,423.2541433023819,154674.5343801287,519160.63901706104,152958.50597011208,24365.819206074517,63573.68686457146,31529.38457523856
2038-06-30,2172.4247034120685,21167.888091286277,75109.80425653467,931661.6169116867,233299.08281688276,62241.356194814165,500536.4543309323,86664.58359360915,390.38471920355613,137879.75794477802,476307.31748959504,139647.0731818563,21720.144610251577,59660.22303373561,28118.59777857639
2038-07-31,2112.050152962981,32867.24319137355,78054.21005137102,924332.2319994774,231428.22957228517,69393.24932475465,497304.3485202358,92764.542051274,379.53541248744557,136774.08367722135,479980.2338779942,143018.68188719457,21545.968173179743,62253.39064190946,27885.61105645901
2038-08-31,2130.486199484238,34402.04170968358,70446.61953982485,895297.5501762417,224228.22685375146,64683.821786033826,481451.08104124863,90409.09132742247,382.84837004699256,132518.8820705681,462448.15999881306,138859.89073528146,20875.647920084404,60265.58240868505,27032.74993408597
2038-09-30,2385.0557132644194,56742.57253526766,81691.48790990264,909097.7203656952,227866.29069017922,82312.94140238503,490407.1231590289,104829.9014223364,428.5945116738828,134668.97779789686,485725.56886405527,149628.54541620406,21214.351663256006,67283.30987281383,27509.767250055727
2038-10-31,2488.1171368047467,101376.30645404352,85547.1087763513,841366.3524445628,211119.54582293946,104385.6611983198,456475.421742577,124237.01154364724,447.1146494838306,124771.65158135799,476925.7416892154,156415.65159994093,19655.229716115755,74371.68487668928,25536.57530325151
2038-11-30,2346.5319331551436,70038.97361749294,48787.30182951532,950711.2611140748,238175.669918841,64830.12380573602,510902.4882386652,109629.20679744524,421.671788388134,140761.820922035,487332.7739726418,156205.1954597238,22174.15486944412,68387.5506028985,28728.825630126667
2038-12-31,2307.98477592282,62143.85427381276,63735.64802270681,830578.7408076648,208291.13380848506,71968.59615573939,447755.1549208061,99519.42004214252,414.7448642333271,123100.06008081298,440634.95151647594,139088.40068805637,19391.904557569873,62486.69388115956,25168.82339440375
