,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2035-02-28,-397551.2970239967,-52176.507263999956,-376228.70409600064,-257015.08224000037,-389820.5563666178,-288424.0953427688,-163047.8538851908,-102842.44974803505,-71439.96807521232,-230383.948812671,-394719.80796973174,-114952.62183150696,-36292.29379773198,-102123.29156010924,-115767.88113067485
2035-03-31,-350560.56268799957,-44209.08115200006,-269072.91439200006,-120427.55999999982,-317350.8540078886,-209264.65069734072,-83221.60070567485,-72821.20060089347,-62995.733115033014,-187554.35471866373,-256904.79432612378,-79831.77491064207,-29545.364508134546,-76984.14847154822,-98945.9704094166
2035-04-30,-271247.7196800001,-31830.53760000004,-115053.63768000156,22269.94559999928,-216861.92388403136,-95083.93307052087,3072.677101199515,-32867.284791240236,-48743.21522649634,-128165.39701546356,-82365.40070164483,-35520.81522106961,-20189.845113603515,-42300.11437446205,-73148.66498539736
2035-05-31,-237112.1363519989,-31233.625920000195,-165376.28800799977,34560.19871999975,-185820.0312130833,-130378.12431397289,6352.994420279982,-39433.61506590014,-42609.05090245418,-109819.63844693173,-111140.12445185613,-37206.16923950985,-17299.844905937905,-44686.31590703642,-63497.21647315053
2035-06-30,-231902.6371199973,-12143.779200000223,-78527.76336000022,-25313.990399999777,-196427.49878908508,-60744.19309704099,-19035.530465760035,-20178.281919599976,-41672.90389046352,-116088.65178435016,-70268.22546936851,-28941.708249845775,-18287.40013726405,-32631.12492691679,-63848.79031638615
2035-07-31,-113221.37836800143,-2991.5049600001657,-95868.03146400023,-84292.72991999984,-113776.95150904544,-69027.58162947558,-51119.25025456818,-22079.586683196016,-20345.88169272989,-67242.17834184319,-104634.97126673814,-28907.390587318223,-10592.634185491945,-25644.338371936232,-33298.172775251325
2035-08-31,-97487.7603839999,-11731.391999999993,-219891.34346400015,-209026.35360000003,-131873.26360844076,-160438.7925893166,-125777.26254131994,-54281.79762764415,-17518.550541004864,-77937.09879258974,-249051.80646527465,-61043.06358849793,-12277.400841946015,-47139.308245012304,-32702.506603738293
2035-09-30,-197525.56320000067,-17080.502400000056,-329840.59895999916,-280248.85440000053,-231593.04958608001,-240436.78095564013,-170964.7336504804,-78864.55639955983,-35495.343707040185,-136871.49230537377,-358502.0787389977,-89807.17065017624,-21561.31291646394,-73237.39663521084,-62027.23907591542
2035-10-31,-183910.35398400016,-22414.726079999993,-345680.2098719999,-270936.49824000034,-218115.8190441234,-253939.85203024838,-167262.41837275238,-83460.91261730366,-33048.69061092427,-128906.44905507565,-367453.9264461221,-91356.52104764897,-20306.58275300765,-74712.63029710762,-58047.38355098106
2035-11-30,-214956.50400000066,-29059.1712000001,-288637.227359999,-290407.1616,-248409.01728720032,-216519.35184503905,-174161.93606927968,-79536.09861863987,-38627.683768799994,-146809.7292167344,-339821.49620458763,-91815.92885326548,-23126.87950943841,-72972.98838960496,-67070.35247359122
