,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2032-03-31,62424.87598287243,3698.1979180147614,19591.216959426623,20173.450710118042,56195.25831982082,15444.363579293587,12135.846511018723,6337.680332349077,11217.750214122321,33211.39766701505,23998.17341425201,9551.617713308126,5231.778549575401,9353.249247342274,17581.9040972895
2032-04-30,37371.146835722546,2922.8326479763464,14556.282929202765,12972.283557559955,33864.21575466422,11551.06184237976,7952.943777002177,4662.410716342922,6715.595086379313,20013.751511005397,17004.16789455238,6386.91930223115,3152.7584867591827,6137.21420734798,10551.998998664514
2032-05-31,33644.79386656156,1962.6267531717383,10535.881169822656,10114.197036948222,30098.744454876043,8294.398743979818,6135.183655164146,3344.052242823866,6045.969457821433,17788.357972832036,12566.837700037391,5033.886969644779,2802.193108749004,4994.184809953102,9453.609237849887
2032-06-30,44306.805828566015,2620.0124629943157,15118.027357885703,10462.650746042427,38927.11880923194,11816.661731054373,6644.448089251556,4417.003858730995,7961.933007393205,23005.927216256092,16141.664209539284,6394.8728184741985,3624.1147611395118,6591.757581567481,12365.044729701425
2032-07-31,69680.1416166143,1878.2260255255003,18785.494957577204,13700.538344374325,60535.33189003864,14086.163169593605,8572.729950563611,4812.371704467957,12521.521448505564,35776.38114701329,19789.9576991626,8378.71591469376,5635.8393989625665,9138.763616431366,19364.81335323882
2032-08-31,80898.03871919133,1990.1040160036393,26445.40041697486,19587.060262258066,71195.68642103564,19546.385485530052,12201.441903430305,6451.396695637402,14537.377557838707,42076.65067483175,27718.052712606157,10652.434057457875,6628.318405798446,11298.892946606296,22591.136888412773
2032-09-30,102120.04832500787,2919.794030700932,35064.20946027684,27723.3517184287,90617.48052370363,26038.594695994387,17120.12945320656,8822.178116551042,18350.972684003933,53554.930989508386,37652.34930682164,14168.25023783654,8436.487436756885,14700.943651782849,28606.0585913149
2032-10-31,99124.94198937772,2799.0261737705423,26677.705884317707,30616.443075719657,88880.72604140657,20061.17705360043,18106.684749563603,7670.105454713182,17812.752075491175,52528.50909047147,33141.32411169473,13440.553810724501,8274.795594454901,13570.907369007818,27876.569518077977
2032-11-30,102510.84201815701,3795.1849378354714,24849.694812201207,31065.767375114323,91768.48256340262,19201.522055371024,18266.446131723238,7944.154612656794,18421.1983106629,54235.17319497173,32507.587777981265,13835.167448525339,8543.645726652818,13880.817968075411,28811.150975260036
2032-12-31,109803.8088965429,5497.1687692497335,31228.190629927183,35061.86766288207,98741.01702850121,24445.739341513236,20871.626774348246,10092.688909005252,19731.74445870883,58355.941063844686,39382.42583154788,16048.5290687088,9192.788685353564,15822.877588991083,30913.643015216185
2033-01-31,124476.13949236748,5720.239059444523,28297.675285514335,35740.993985648165,110939.6237752264,22472.031221484518,21050.772385619748,9806.801140596142,22368.36226677836,65565.31765115849,37769.68688338788,16716.5946459689,10328.47897347354,16782.83618211052,34926.05888150293
2033-02-28,103449.93923650605,4828.051940788222,22006.747891178133,28781.489886032698,91970.80541669024,17640.72790144901,16909.892774223918,7893.913866932664,18589.954080800413,54354.7460012637,29972.991183889746,13632.531157696623,8562.481984293929,13739.713275205646,28999.18714435794
2033-03-31,95720.9493233166,4335.099651220563,15011.88631868402,24762.686471373323,84635.1339383238,12485.1633829537,14301.072891674714,6284.916507112753,17201.05459339986,50019.36415754969,23174.296731784012,11742.236192213933,7879.530969657807,11956.636675981214,26777.38217367309
2033-04-30,74961.73118452476,4051.656929243405,15425.37591460109,20234.246279554405,66489.33359866166,12654.421362492161,11911.529076383096,5888.24913569274,13470.623093859367,39295.19615680926,21317.100233950063,9930.105086282783,6190.156958035427,9986.993393459441,20994.98622518409
2033-05-31,50545.21258486981,2111.339578872927,8093.446294846948,13969.629180011918,44913.472649568124,6633.285514751865,8030.008783782571,3312.1998814971553,9082.974701501093,26543.862335895083,12675.399661646246,6276.187787504924,4181.4443036745915,6337.752656050095,14166.138415481913
2033-06-30,77181.78470254283,729.4763466593175,17901.4332117036,17330.34207619249,67587.93528354907,12963.590560345734,10396.989836927569,4322.023161704881,13869.56671104698,39944.46975257775,20320.341764549627,8788.486376204244,6292.436774898376,9582.351639914146,21513.26347833811
2033-07-31,86529.51930366561,259.45110491179616,25318.107116418258,19767.72301489804,75857.83204627817,17999.714731729557,12154.718645086607,5380.791404456561,15549.354618869027,44831.97873935006,26296.986162521713,10271.689416652243,7062.364163508565,11258.016352274146,24128.804113457434
2033-08-31,97170.08179648923,1060.0118787765427,36539.194165491106,25239.725310490816,85941.8218045991,26274.45582736954,15822.372209497396,7900.089679094395,17461.463698829073,50791.616686516194,36772.30267825448,13079.681251027541,8001.183610008132,13925.868386481698,27185.786888718805
2033-09-30,108360.95064747972,1833.6390726351442,48892.3473790719,32578.186035821574,96940.82266576847,35337.32596130296,20553.80611007709,10707.224127740383,19472.46283135175,57292.026195469785,48845.84104934692,16279.82041957555,9025.190590183154,16859.85866265324,30447.655948184733
2033-10-31,99297.14380877055,796.9165413341092,41189.02254391945,32092.781838682575,89388.78449572524,29445.507747948177,19753.719253186373,8946.307790242498,17843.69674243617,52828.77163697372,42909.617654319685,14522.04984581463,8322.09583655196,14933.858288579728,27967.046601166578
2033-11-30,115152.38595328799,2199.857756214242,38006.852006274996,36406.81416108901,103460.5345621296,27805.479279751962,21894.318677386393,9491.885124047249,20692.883755805684,61145.17592621992,43243.59003687414,16119.90256848257,9632.175767734474,16404.684727042648,32408.73270495313
2033-12-31,134573.01357789178,3982.5391947289777,43570.8345080888,38028.35558490194,119786.46019536062,32509.225320879887,23188.663715875828,11394.690234262835,24182.770539947232,70793.79797546065,48533.81375486741,18632.01652433099,11152.11944418837,19163.466269060704,37741.00825089537
2034-01-31,130770.69795352263,5024.136663741535,38314.37644271318,34729.551954477116,115849.18891278136,29247.070200508886,21136.767392015347,10908.868061024337,23499.494422248095,68466.8706474529,43894.78551012301,17772.889032120314,10785.559487779921,18292.162803084124,36608.9272918281
2034-02-28,136365.4027857357,8244.633380189629,41804.99401167868,33821.027037883265,120210.51896293876,33109.276839563885,21010.281869124312,13075.599369599016,24504.86288059668,71044.4167070963,47238.96983946424,19450.280292175983,11191.599315449655,19847.036591023127,38104.40596576929
2034-03-31,103524.80981720657,7481.280156385075,31045.01966520432,23505.075864548086,90721.00292146765,25176.44134125941,14801.471404170603,10313.866336730745,18603.40832415226,53616.11272658735,34933.269409486646,14823.604954498927,8446.125371988524,15150.926762519965,28863.65911594064
2034-04-30,108042.33048004986,7320.981688740581,31049.921920287085,17427.84847646354,92914.72710699528,25110.41539875279,11567.74661638711,9812.828377037158,19415.20678726491,54912.603720233266,32156.33614831843,14210.69584628689,8650.361093661162,15193.785877545764,29913.317488207264
2034-05-31,85312.23459695211,6528.540883349947,30773.664793844073,12935.497422860544,73161.97225562402,24571.716649782862,9132.125382303302,9045.13301527133,15330.6085570727,43238.72560307299,29627.923038740828,12043.74296605269,6811.379616998398,12866.021683376777,23595.71083610125
2034-06-30,118551.70983228453,2321.7960403983448,30286.263931674723,14292.362056529482,100752.1988625399,22403.74405124102,9652.384665001295,6851.627144836972,21303.74225686205,59544.54952775999,28128.334246313083,12571.977822618004,9380.029714102422,14711.046040944548,32680.2827957486
2034-07-31,126232.61138625498,1088.3143903952791,38272.4442932493,22457.089966412583,109078.70493224527,27511.266181416322,14458.310767277904,7989.857986176463,22684.000266110266,64465.51461495833,36730.77540637507,14523.645349220042,10155.227429192113,16426.72373645435,35011.50107502357
2034-08-31,121534.76362958379,2000.4962543428633,48877.580638969295,28481.13418723167,106723.914545425,35399.225847689544,18383.593008170912,10511.223477278285,21839.797024235966,63073.83349634443,47077.07829569334,16523.312641777084,9935.996444178834,17793.28873914352,33911.20420790098
2034-09-30,105865.27289000853,3672.800552081272,56408.400989996626,34863.13392266368,95462.42602229961,41444.694338758956,22329.63579281495,12984.945382735566,19023.989538334357,56418.29377917851,55794.74880610916,17890.281090437384,8887.551862676055,18066.325719163644,29836.093088451515
2034-10-31,103158.26820934468,2863.958864641505,56466.7996785557,36757.64426765687,93713.73870535569,41135.32014072235,23307.171600130823,12698.773482874582,18537.54079721923,55384.81957486457,56339.972743631566,17719.403732918516,8724.749073468494,17760.13535324815,29155.491924724996
2034-11-30,105842.16792308025,3648.306174933534,38253.00635480247,38433.26276943067,96330.65927833605,28607.289716500978,23044.648347521565,10430.4810145021,19019.837575777325,56931.419633496735,44926.77956881547,16397.538527682977,8968.384378813098,16079.58207738606,29935.291560577436
2034-12-31,106888.93163206344,5107.569866067549,39508.31502002612,41288.12857724305,97898.33499657353,30126.75609858827,24700.97911530436,11586.581024408812,19207.941014281943,57857.91598297606,47676.41684489258,17474.729107456078,9114.334988180917,16781.89296265498,30304.46831467005
