,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
2030,263277.992,290822.69509703416,206968.1673255304,-3414859.4631102798,-1247033.7732195575,-2167825.6898907223,-3772129.318121442,-1377501.0970333416,-2394628.2210881,-2684490.2583204876,-980318.5320415725,-1704171.7262789146,-2685450.9161851346,-1911139.893604445
2031,263277.992,293730.92204800446,202047.02203632874,-4091225.8220323697,-1493519.682094254,-2597706.139938115,-4564451.148701305,-1666272.6344342057,-2898178.514267098,-3139723.102338806,-1146169.498739524,-1993553.6035992813,-3191909.4363151025,-2195600.62563561
2032,263277.992,296668.23126848455,197242.88832079264,-2987089.066334939,-1130811.5838339832,-1856277.4825009557,-3365926.727179745,-1274226.7970273085,-2091699.9301524365,-2237870.589332674,-847182.6347795335,-1390687.9545531403,-2388368.161420921,-1587930.842873933
2033,263277.992,299634.9135811694,192552.98395901851,-3160514.9107085606,-1211534.1952387553,-1948980.7154698044,-3596960.782586631,-1378838.9266163805,-2218121.855970249,-2311498.0947739235,-886076.8144327478,-1425421.280341175,-2517756.7695514183,-1617974.2643001934
2034,263277.992,302631.2627169811,187974.59288479484,-3607916.179423694,-1331692.296554009,-2276223.8828696846,-4147206.61177034,-1530745.9548560223,-2616460.656914317,-2575971.3899277737,-950798.4901850714,-1625172.8997427018,-2919091.919631298,-1813147.4926274966
2035,263277.992,305657.5753441509,183505.06361264523,-3339483.304413496,-1254931.8600062581,-2084551.4444072377,-3877036.443400488,-1456936.930571995,-2420099.5128284926,-2327623.7088961285,-874688.9515929747,-1452934.7573031536,-2725757.0881726434,-1636439.820915799
2036,263277.992,308714.15109759243,179141.80770227307,-2800860.0861790767,-1035413.3685727296,-1765446.717606347,-3284228.724472736,-1214103.6046568935,-2070125.1198158422,-1905784.585896052,-704524.6021369636,-1201259.9837590882,-2378839.2709134347,-1380401.7914613613
2037,263277.992,311801.2926085683,174882.2982595165,-4635355.913627855,-1688013.4542079032,-2947342.4594199513,-5489672.549500211,-1999121.8140355558,-3490550.735464655,-3079033.2654393693,-1121262.2449842417,-1957771.020455127,-3802352.0280732233,-2132653.318714644
2038,263277.992,314919.305534654,170724.0684729477,-2881472.3868870046,-1066880.4089175372,-1814591.977969467,-3446665.92183572,-1276146.307986269,-2170519.6138494504,-1868506.6888606665,-691824.4954727703,-1176682.1933878958,-2485438.919384104,-1347406.2618608435
2039,263277.992,318068.49859000056,166664.71018526694,-3574104.1554804984,-1320442.0459731303,-2253662.109507368,-4317907.22005341,-1595237.854282108,-2722669.3657713016,-2262540.1717782607,-835888.6712739463,-1426651.500504314,-3040737.864361302,-1593316.210689581
2040,263277.992,321249.18357590056,162701.8724986658,-3393616.836784144,-1275122.3145657508,-2118494.522218393,-4140857.463643738,-1555891.5479485276,-2584965.9156952105,-2097204.592352631,-788006.5730852291,-1309198.019267402,-2906215.099271111,-1471899.8917660676
2041,263277.992,324461.6754116596,158833.26041335054,-3581850.7642465937,-1341706.8179099974,-2240143.946336596,-4414244.013384845,-1653508.6687015002,-2760735.344683344,-2160898.5653435774,-809439.7362597117,-1351458.8290838653,-3085197.020095004,-1510292.0894972158
2042,263277.992,327706.2921657762,155056.63349843808,-2980465.9852918107,-1108299.1831508316,-1872166.8021409796,-3709833.2813408724,-1379517.570616831,-2330315.7107240423,-1755334.8019152065,-652728.8473410902,-1102605.9545741167,-2658022.0028898185,-1257662.588072555
2043,263277.992,330983.35508743394,151369.80459445433,-3077441.5123431543,-1141075.1073681572,-1936366.4049749973,-3868845.660448078,-1434517.4261412118,-2434328.234306867,-1769353.058474577,-656052.998269274,-1113300.0602053034,-2765311.5893943007,-1264669.8647997577
2044,263277.992,334293.1886383083,147770.63854668365,-2557013.9902353943,-947891.0224323643,-1609122.96780303,-3246729.260182727,-1203570.0742147155,-2043159.1859680119,-1435181.0694070002,-532024.9542829213,-903156.1151240792,-2377452.37460632,-1050926.7536707628
2045,263277.992,337636.12052469136,144257.05096863568,-5110964.448670224,-1884225.9700248842,-3226738.4786453396,-6554464.334370312,-2416391.669802295,-4138072.664568017,-2800434.071111821,-1032417.7867260046,-1768016.2843858164,-4475708.785092708,-1912273.335354452
2046,263277.992,341012.4817299383,140827.00703491404,-2836498.6348833353,-1077566.242130559,-1758932.3927527764,-3673992.7692290675,-1395724.4799153036,-2278268.289313764,-1517238.908481342,-576388.5830651051,-940850.3254162369,-2619280.771043702,-1081677.332451151
2047,263277.992,344422.6065472377,137478.52030278675,-3535035.2829540214,-1292547.1417442593,-2242488.1412097625,-4624564.541617576,-1690921.6462146963,-2933642.8954028804,-1845924.9716499734,-674942.3570071787,-1170982.614642795,-3278065.501950118,-1308461.1349455817
2048,263277.992,347866.8326127101,134209.65156177717,-4103910.5266532823,-1498570.7570780653,-2605339.769575217,-5422459.907825626,-1980048.004585121,-3442411.903240505,-2092025.989862633,-763917.4760498619,-1328108.513812771,-3790278.735853215,-1462318.1653745482
